valor_emprestimo,valor_financiado,valor_financiado_investidores,prazo,taxa_juros,parcela,cargo,tempo_emprego,propriedade_casa,renda_anual,status_verificacao,status_emprestimo,finalidade,titulo,estado,dti,inadimplencia_2anos,consultas_ultimos_6meses,contas_abertas,registros_publicos,saldo_renovavel,utilizacao_renovavel,total_contas,status_lista_inicial,principal_pendente,principal_pendente_investidores,pagamento_total,pagamento_total_investidores,total_principal_recebido,total_juros_recebidos,valor_ultimo_pagamento,cobrancas_12_meses_exc_med,contas_atualmente_inadimplentes,total_cobrancas,saldo_atual_total,limite_total_renovavel,score_credito
24000,24000,24000,60,9.17,500.19,11,5,0,100000.0,0,0,1,2,32,9.16,0,0,5,1,18662,84.4,13,1,22391.66,22391.66,2488.72,2488.72,1608.34,880.38,500.19,0,0,113,284790,22100,B
35000,35000,35000,60,20.49,936.86,19,10,1,110000.0,2,0,2,3,29,19.93,0,0,14,0,45529,79.2,43,1,31729.83,31729.83,8352.06,8352.06,3270.17,5081.89,936.86,0,0,0,75964,57500,E
25000,25000,25000,36,7.89,782.15,8,10,0,113000.0,1,0,2,3,32,21.29,0,0,9,0,22678,92.2,19,0,18636.22,18636.22,7810.54,7810.54,6363.78,1446.76,782.15,0,0,0,52801,24600,A
14400,14400,14400,36,16.55,510.19,2,10,0,50000.0,1,0,1,2,12,15.39,0,0,10,0,12018,56.7,13,1,12464.8,12464.8,3047.9,3047.9,1935.2,1112.7,510.19,0,0,0,140762,21200,D
35000,35000,35000,60,15.61,843.9,2,1,0,73000.0,1,0,2,3,25,8.37,0,1,8,0,33291,69.8,15,1,33005.74,33005.74,4189.15,4189.15,1994.26,2194.89,843.9,0,0,0,121829,47700,D
5000,5000,5000,36,7.89,156.43,5,4,2,35000.0,0,0,1,2,4,13.41,0,0,5,0,1748,39.7,18,1,3858.31,3858.31,1403.49,1403.49,1141.69,261.8,156.43,0,0,0,15063,4400,A
14000,14000,14000,36,7.89,438.0,16,10,0,110000.0,0,0,6,8,41,23.19,0,1,8,0,115589,27.4,17,1,10803.29,10803.29,3929.73,3929.73,3196.71,733.02,438.0,0,0,0,177373,155800,A
7300,7300,7300,36,7.89,228.39,14,6,0,54000.0,0,0,2,3,14,29.33,1,0,9,0,9187,55.0,38,1,5823.21,5823.21,1823.92,1823.92,1476.79,347.13,228.39,0,0,0,209409,16700,A
18000,18000,18000,36,12.69,603.81,15,3,2,75000.0,2,0,2,3,21,23.05,0,0,33,0,16917,91.9,39,1,16746.46,16746.46,1798.74,1798.74,1253.54,545.2,603.81,0,0,0,94751,18400,C
15000,15000,15000,60,18.55,385.41,5,4,0,63000.0,2,0,2,3,46,24.9,0,2,17,1,5922,24.1,43,1,14208.22,14208.22,1911.59,1911.59,791.78,1119.81,385.41,0,0,0,48497,24600,E
20000,20000,20000,60,18.55,513.88,8,2,0,65000.0,1,0,2,3,41,23.85,1,1,25,0,22758,50.1,41,1,19376.32,19376.32,1490.11,1490.11,623.68,866.43,513.88,0,0,0,178182,45400,E
12000,12000,12000,36,9.17,382.55,15,2,1,50000.0,0,0,1,2,21,12.05,0,0,8,0,13447,44.1,11,0,11416.08,11416.08,746.75,746.75,583.92,162.83,382.55,0,0,0,135159,30500,B
35000,35000,35000,60,18.25,893.54,7,7,0,140000.0,1,0,2,3,18,12.13,0,0,12,4,106585,76.9,18,1,34272.01,34272.01,1751.59,1751.59,727.99,1023.6,893.54,0,0,0,748843,121700,E
20000,20000,20000,36,11.22,656.86,4,5,1,50000.0,0,0,2,3,34,26.4,0,1,5,0,2779,28.6,16,1,19530.14,19530.14,644.39,644.39,469.86,174.53,656.86,0,0,255,20321,9700,B
9075,9075,9075,36,17.57,326.13,4,1,2,25459.2,1,0,9,11,36,26.45,0,0,11,0,4672,93.4,15,0,7010.0,7010.0,3252.44,3252.44,2065.0,1187.44,326.13,0,0,0,24654,5000,D
19150,19150,19150,36,5.32,576.7,6,6,0,90000.0,0,0,2,3,33,9.91,0,0,11,0,16967,77.1,19,1,16166.29,16166.29,3454.54,3454.54,2983.71,470.83,576.7,0,0,0,137258,22000,A
7500,7500,7400,36,13.33,253.9,23,3,2,50000.0,0,0,9,11,4,20.54,0,1,6,0,5890,63.3,7,0,6982.53,6889.43,756.15,746.07,517.47,238.68,253.9,0,0,0,49450,9300,C
25150,25150,25150,60,11.53,553.5,8,10,0,70000.0,2,0,2,3,36,9.02,0,1,12,0,8483,16.5,30,0,23233.37,23233.37,3288.78,3288.78,1916.63,1372.15,553.5,0,0,0,119576,51300,B
28000,28000,28000,36,7.89,876.0,11,10,0,120000.0,1,0,2,3,4,19.67,1,0,14,0,33232,49.3,22,1,21606.59,21606.59,7859.45,7859.45,6393.41,1466.04,876.0,0,0,191,792149,59500,A
20000,20000,20000,36,7.49,622.04,16,10,2,49000.0,1,0,2,3,4,28.88,0,0,4,0,20344,90.4,16,1,14356.8,14356.8,6834.12,6834.12,5643.2,1190.92,622.04,0,0,0,46412,22500,A
7450,7450,7450,36,18.84,272.49,23,1,0,75000.0,0,0,2,3,4,27.25,0,0,10,1,4466,38.2,29,0,6135.24,6135.24,2172.12,2172.12,1314.76,857.36,272.49,0,0,0,451632,11700,E
14400,14400,14375,60,18.55,369.99,16,6,0,120000.0,1,0,2,3,9,16.6,1,1,11,0,3400,59.6,14,0,13950.96,13926.74,1095.13,1093.23,449.04,646.09,369.99,0,0,81,136715,5700,E
21000,21000,21000,36,9.76,675.25,6,6,0,210000.0,1,0,5,5,4,8.05,0,1,10,0,19178,23.8,19,1,20495.55,20495.55,663.86,663.86,504.45,159.41,675.25,0,0,0,466492,80500,B
10000,10000,10000,60,19.99,264.89,8,5,2,71500.0,2,0,2,3,41,16.83,0,0,12,0,6351,49.6,16,1,9596.84,9596.84,1048.45,1048.45,403.16,645.29,264.89,0,0,0,24541,12800,E
15000,15000,15000,36,10.99,491.01,19,9,0,54000.0,1,0,1,2,8,28.76,0,0,20,0,29582,59.5,47,1,13550.64,13550.64,2020.24,2020.24,1449.36,570.88,491.01,0,0,0,208763,49700,B
15000,15000,15000,36,5.32,451.73,3,10,0,160000.0,0,0,2,3,32,13.67,0,0,12,0,53610,38.2,23,1,14614.77,14614.77,442.86,442.86,385.23,57.63,451.73,0,0,0,264247,78800,A
16000,16000,16000,60,19.99,423.82,19,1,0,40000.0,1,0,1,2,30,25.53,0,1,8,0,23415,97.2,17,1,14842.42,14842.42,2948.97,2948.97,1157.58,1791.39,423.82,0,0,0,127808,24100,E
27300,27300,27300,36,14.33,937.44,10,7,2,86000.0,0,0,2,3,4,23.2,1,1,12,2,7166,27.5,18,1,26688.57,26688.57,915.71,915.71,611.43,304.28,937.44,0,0,0,44305,26100,C
25000,25000,25000,60,13.99,581.58,16,1,2,84000.0,0,0,2,3,3,17.16,0,1,13,0,10682,33.1,34,0,23819.06,23819.06,2306.89,2306.89,1180.94,1125.95,581.58,0,0,0,51713,32300,C
12000,12000,12000,36,6.89,369.93,11,6,2,50000.0,0,0,1,2,4,22.3,0,0,15,1,10857,65.4,33,1,11091.71,11091.71,1105.2,1105.2,908.29,196.91,369.93,0,0,0,121820,16600,A
15000,15000,15000,36,12.69,503.18,1,8,1,66000.0,2,0,2,3,16,20.67,0,2,4,0,16863,99.2,6,1,13240.4,13240.4,2505.32,2505.32,1759.6,745.72,503.18,0,0,0,32169,17000,C
21000,21000,21000,36,12.69,704.45,23,9,0,75000.0,1,0,4,6,25,35.3,0,0,9,3,32587,61.4,29,1,20030.15,20030.15,1394.1,1394.1,969.85,424.25,704.45,0,0,1417,304145,53100,C
15175,15175,15150,36,15.61,530.6,18,4,0,52000.0,1,0,2,3,9,11.82,0,0,4,0,3456,69.1,7,0,13109.66,13088.06,3240.94,3235.6,2065.34,1175.6,530.6,0,0,0,164936,5000,D
14000,14000,14000,36,12.69,469.63,22,3,1,100000.0,1,0,2,3,23,15.36,3,3,14,0,20673,70.8,40,1,13025.02,13025.02,1389.15,1389.15,974.98,414.17,469.63,0,0,0,35921,29200,C
27225,27225,27225,36,16.55,964.56,2,2,2,61900.0,1,0,2,3,41,17.89,1,0,12,0,16050,81.5,33,1,24819.48,24819.48,3833.21,3833.21,2405.52,1427.69,964.56,0,0,0,24620,19700,D
12925,12925,12925,36,16.55,457.93,11,5,1,51000.0,1,0,2,3,46,35.46,0,3,17,2,5865,24.0,28,0,10884.4,10884.4,3193.63,3193.63,2040.6,1153.03,457.93,0,0,0,47779,24550,D
24000,24000,24000,36,9.17,765.1,11,10,2,120000.0,0,0,2,3,4,16.96,0,0,11,0,22667,79.5,19,1,21046.71,21046.71,3813.27,3813.27,2953.29,859.98,765.1,0,0,0,30384,28500,B
20000,20000,20000,36,7.89,625.72,10,10,1,65000.0,1,0,2,3,1,18.33,0,0,4,0,6544,48.5,19,1,15954.05,15954.05,4996.99,4996.99,4045.95,951.04,625.72,0,0,0,23771,13500,A
13175,13175,13175,36,16.55,466.78,19,10,0,100000.0,1,0,2,3,12,35.69,0,1,15,0,30540,78.1,33,1,12307.93,12307.93,1370.06,1370.06,867.07,502.99,466.78,0,0,17213,443498,39100,D
35000,35000,35000,36,7.89,1095.0,20,10,0,200000.0,1,0,1,2,9,19.68,0,0,16,0,23807,64.9,28,1,33264.56,33264.56,2159.32,2159.32,1735.44,423.88,1095.0,0,0,0,85079,36700,A
16000,16000,16000,36,5.32,481.84,2,10,0,66695.12,1,0,6,8,23,25.28,0,0,13,0,6197,11.7,28,0,15589.1,15589.1,448.73,448.73,410.9,37.83,453.46,0,0,0,218570,53100,A
24000,24000,24000,60,17.57,603.85,4,10,0,105000.0,2,0,2,3,29,25.5,0,0,20,0,10595,20.9,43,1,23231.51,23231.51,1764.7,1764.7,768.49,996.21,603.85,0,0,0,301294,50600,D
12000,12000,12000,60,20.49,321.21,2,10,2,42500.0,2,0,2,3,31,23.75,1,0,18,1,12450,70.0,43,0,10878.79,10878.79,2877.23,2877.23,1121.21,1756.02,321.21,0,0,0,25115,17874,E
24000,24000,24000,36,6.68,737.55,14,10,0,104000.0,1,0,2,3,13,15.05,0,0,11,0,27501,67.6,39,1,19073.21,19073.21,5891.49,5891.49,4926.79,964.7,737.55,0,0,0,255521,40700,A
18875,18875,18875,36,5.32,568.42,20,10,0,84000.0,0,0,1,2,6,19.46,1,0,19,0,16013,19.2,33,1,17414.32,17414.32,1694.1,1694.1,1460.68,233.42,568.42,0,0,0,175387,83500,A
24000,24000,24000,60,13.67,554.35,19,10,0,61000.0,0,0,1,2,10,38.93,0,1,27,0,24068,57.4,66,1,23434.9,23434.9,1081.36,1081.36,565.1,516.26,554.35,0,0,0,251360,41900,C
6525,6525,6525,36,20.99,245.8,19,3,2,17208.0,2,5,0,1,5,9.27,0,0,2,0,6116,100.3,6,1,5984.35,5984.35,967.98,967.98,540.65,427.33,245.8,0,0,0,6116,6100,E
6000,6000,6000,36,6.92,185.05,19,10,2,89000.0,0,0,1,2,4,4.75,0,0,11,0,8706,85.4,18,1,4928.46,4928.46,1305.39,1305.39,1071.54,233.85,199.7,0,0,0,154064,10200,A
8000,8000,8000,36,6.92,246.73,19,10,0,125000.0,0,0,1,2,4,23.78,1,1,19,0,49167,68.7,40,1,5728.7,5728.7,2707.88,2707.88,2271.3,436.58,246.73,0,0,55,317359,71600,A
1200,1200,1200,36,9.76,38.59,14,10,0,70000.0,0,0,4,6,32,19.05,0,0,7,0,5222,60.0,13,1,1171.17,1171.17,37.94,37.94,28.83,9.11,38.59,0,0,83,84519,8700,B
10000,10000,10000,36,9.99,322.63,8,1,0,41600.0,0,0,4,6,25,11.59,2,0,15,0,7127,58.9,26,1,8533.49,8533.49,1924.68,1924.68,1466.51,458.17,322.63,0,0,0,97574,12100,B
30000,30000,30000,60,16.55,738.34,9,10,1,75000.0,1,0,1,2,16,30.75,0,0,11,0,24222,54.1,19,1,28331.66,28331.66,3636.53,3636.53,1668.34,1968.19,738.34,0,0,0,80764,44800,D
15000,15000,15000,36,6.24,457.97,8,5,2,65000.0,1,0,2,3,32,15.02,0,0,11,0,16077,48.0,26,1,13854.15,13854.15,1363.51,1363.51,1145.85,217.66,457.97,0,0,0,47975,33500,A
24000,24000,24000,60,9.17,500.19,17,10,2,175000.0,1,0,1,2,4,15.39,1,0,22,0,35575,57.1,38,1,22718.24,22718.24,1976.31,1976.31,1281.76,694.55,500.19,0,0,0,101450,62300,B
28000,28000,28000,60,16.55,689.12,6,3,0,135000.0,1,0,2,3,6,12.13,0,0,9,1,36,0.7,26,1,26762.89,26762.89,2692.12,2692.12,1237.11,1455.01,689.12,0,0,0,308858,4900,D
15000,15000,15000,36,5.32,451.73,25,8,0,149400.0,0,0,4,6,36,22.84,0,0,22,0,32951,58.8,38,0,13448.8,13448.8,1798.05,1798.05,1551.2,246.85,451.73,0,0,0,315733,56000,A
18000,18000,18000,36,6.68,553.16,5,6,2,120000.0,0,0,6,8,32,13.8,0,1,13,1,23147,46.8,22,1,13831.4,13831.4,4971.76,4971.76,4168.6,803.16,553.16,0,0,0,62058,49500,A
12000,12000,12000,36,6.24,366.37,13,10,0,83000.0,0,0,2,3,3,8.14,0,0,3,0,3775,10.8,11,1,10464.26,10464.26,1827.69,1827.69,1535.74,291.95,366.37,0,0,0,21475,35000,A
19200,19200,19200,36,15.41,669.44,7,10,0,165000.0,2,0,4,6,40,20.56,0,0,10,3,74603,43.0,11,1,18777.12,18777.12,644.78,644.78,422.88,221.9,669.44,0,0,229,144309,85300,D
34450,34450,34450,36,19.99,1280.11,6,7,2,68939.0,2,0,2,3,9,35.41,0,0,13,0,9374,49.1,20,0,29252.36,29252.36,9037.28,9037.28,5197.64,3839.64,1280.11,0,0,0,58510,19100,E
10800,10800,10800,60,20.99,292.12,2,1,0,41500.0,1,0,4,6,42,15.36,0,2,7,1,403,3.7,20,0,9435.1,9435.1,3480.25,3480.25,1364.9,2115.35,292.12,0,0,1026,26166,10900,E
4200,4200,4200,36,18.55,153.01,13,0,2,60320.0,2,0,7,9,35,32.25,1,1,13,2,5308,51.5,30,0,3931.64,3931.64,472.01,472.01,268.36,203.65,153.01,0,0,3671,89407,10300,E
20000,20000,20000,36,6.68,614.62,13,5,2,92000.0,1,0,1,2,18,31.25,4,1,9,0,34054,71.2,16,0,15894.38,15894.38,4909.54,4909.54,4105.62,803.92,614.62,0,0,110,100725,47800,A
9600,9600,9600,36,10.99,314.25,22,10,0,186000.0,1,0,2,3,30,10.68,1,1,11,0,27064,83.5,27,1,9145.27,9145.27,622.64,622.64,454.73,167.91,314.25,0,0,0,447399,32400,B
25000,25000,25000,36,6.89,770.68,7,10,2,162000.0,2,0,2,3,4,13.39,2,0,17,0,24067,45.5,27,0,21973.73,21973.73,3843.83,3843.83,3026.27,817.56,770.68,0,0,0,48366,52900,A
4200,4200,4200,36,9.99,135.51,5,2,2,30000.0,1,0,2,3,4,26.64,1,0,10,0,22542,73.7,16,1,3895.85,3895.85,407.69,407.69,304.15,103.54,135.51,0,0,0,28413,30600,B
22000,22000,22000,60,15.41,528.13,19,10,2,45000.0,0,0,2,3,17,22.11,0,0,6,0,8676,96.4,12,1,21505.62,21505.62,1037.43,1037.43,494.38,543.05,528.13,0,0,0,46369,9000,D
8400,8400,8400,36,15.61,293.71,22,8,1,45000.0,2,0,2,3,25,19.63,1,1,17,0,2659,9.8,28,1,7839.45,7839.45,873.85,873.85,560.55,313.3,293.71,0,0,0,15419,27100,D
10000,10000,10000,36,11.53,329.91,11,0,1,50000.0,1,0,5,5,44,0.48,0,1,5,0,967,3.3,9,1,8315.27,8315.27,2293.36,2293.36,1684.73,608.63,329.91,0,0,0,108411,28900,B
12150,12150,12100,60,20.99,328.63,8,7,2,36000.0,1,0,2,3,33,17.47,0,1,6,0,1887,39.3,6,0,11795.55,11747.01,971.72,967.72,354.45,617.27,328.63,0,0,0,20240,4800,E
15000,15000,15000,36,12.29,500.3,11,4,0,80000.0,0,0,2,3,21,18.05,0,2,21,0,25241,43.0,47,1,13591.85,13591.85,1980.72,1980.72,1408.15,572.57,500.3,0,0,0,198942,58700,C
24000,24000,24000,60,17.86,607.62,8,10,0,100000.0,1,0,9,11,10,29.96,2,0,11,1,8704,39.2,21,1,22710.07,22710.07,3014.29,3014.29,1289.93,1724.36,607.62,1,0,74,110118,22300,D
29450,29450,29450,60,21.99,813.21,5,3,0,67000.0,1,0,2,3,46,35.03,0,2,12,0,34520,76.5,29,1,26149.66,26149.66,8978.92,8978.92,3300.34,5678.58,813.21,0,0,0,133715,45100,E
20000,20000,20000,36,13.18,675.62,15,2,2,68000.0,2,0,1,2,36,22.4,0,1,8,0,17935,76.0,34,1,19083.09,19083.09,1336.6,1336.6,916.91,419.69,675.62,0,0,0,57546,23600,C
15000,15000,15000,36,7.89,469.29,8,8,2,42000.0,1,0,2,3,9,17.24,0,0,11,0,9143,54.4,25,1,14256.23,14256.23,932.0,932.0,743.77,188.23,469.29,0,0,0,20938,16800,A
15000,15000,15000,36,6.24,457.97,16,10,2,42000.0,0,0,2,3,13,14.51,0,0,7,0,9356,28.7,8,1,14620.03,14620.03,444.97,444.97,379.97,65.0,457.97,0,0,113,16019,32600,A
