marca,ano,qtd_nucleos,qtd_threads,ram,gpu_dedicada,ram_gpu,entradas_usb,duracao_bateria,resolucao_tela,tipo_tela,tela_touch,armazenamento_hdd,armazenamento_ssd,segmento,valor
positivo,2022,4,4,16,não,0,4,294,HD,TN,não,1000,125,entrada,6891
razer,2015,4,4,16,não,0,3,432,QUADHD,OLED,não,0,250,premium,17399
positivo,2017,6,9,12,não,0,1,81,HD,IPS,não,500,0,entrada,4965
apple,2010,6,12,16,não,0,2,420,FULLHD,OLED,não,1000,250,premium,19665
samsung,2023,6,10,16,sim,6,4,37,QUADHD,OLED,não,0,250,jogos_premium,21247
hp,2014,8,15,8,sim,2,4,182,FULLHD,TN,não,1000,125,jogos_entrada,9302
lenovo,2017,4,7,64,não,0,3,551,FULLHD,AMOLED,sim,0,250,2em1,19405
acer,2012,12,14,16,não,0,3,441,4K,OLED,não,0,2000,premium,17336
razer,2010,4,4,32,sim,6,1,61,4K,AMOLED,não,500,1000,jogos_premium,19550
dell,2013,8,16,32,sim,6,4,45,4K,AMOLED,não,1000,500,jogos_premium,14676
apple,2017,4,6,16,não,0,2,580,4K,OLED,não,0,1000,premium,21192
razer,2019,4,8,16,sim,6,4,126,QUADHD,AMOLED,não,0,250,jogos_premium,18446
huawei,2020,6,10,8,não,0,3,416,QUADHD,OLED,não,0,2000,premium,22140
xiaomi,2016,8,14,16,não,0,3,463,4K,OLED,não,0,250,premium,19980
samsung,2018,8,16,2,não,0,3,458,HD,TN,não,500,0,entrada,10363
acer,2013,8,12,16,sim,6,4,183,4K,AMOLED,não,0,1000,jogos_premium,24202
lenovo,2013,6,12,4,não,0,1,206,HD,VA,não,2000,0,intermediario,9436
samsung,2014,10,14,4,não,0,2,384,FULLHD,IPS,sim,500,250,2em1,11823
xiaomi,2022,4,7,8,não,0,2,567,QUADHD,AMOLED,não,0,2000,premium,25773
acer,2018,6,7,16,não,0,3,323,HD,IPS,não,1000,0,entrada,8409
acer,2016,6,8,12,sim,6,2,71,4K,OLED,não,0,250,jogos_intermediarios,9636
dell,2022,6,6,12,sim,4,4,186,QUADHD,IPS,não,0,2000,jogos_intermediarios,10974
apple,2011,4,5,8,não,0,3,436,QUADHD,OLED,não,250,250,premium,18521
huawei,2022,6,9,16,não,0,2,437,QUADHD,OLED,não,0,1000,premium,21697
hp,2010,6,6,4,não,0,2,556,FULLHD,IPS,não,1000,250,ultraportatil,19287
lenovo,2023,10,13,16,sim,12,4,166,FULLHD,AMOLED,não,0,250,jogos_premium,21092
lenovo,2022,10,11,2,não,0,3,569,FULLHD,IPS,não,0,250,ultraportatil,18335
samsung,2022,6,8,64,não,0,2,546,FULLHD,AMOLED,sim,0,1000,2em1,19983
lenovo,2017,8,16,32,sim,6,3,155,FULLHD,AMOLED,não,0,2000,jogos_premium,17661
razer,2018,4,5,32,sim,6,4,46,QUADHD,OLED,não,0,1000,jogos_premium,20234
apple,2014,12,15,16,não,0,3,575,FULLHD,OLED,não,0,250,premium,25256
hp,2016,6,12,12,sim,4,4,140,FULLHD,IPS,não,0,2000,jogos_intermediarios,10604
dell,2014,6,8,8,não,0,4,144,HD,VA,não,250,0,intermediario,6403
apple,2019,4,7,8,não,0,2,583,QUADHD,OLED,não,0,2000,premium,17361
hp,2015,4,7,12,sim,6,4,138,FULLHD,VA,não,0,1000,jogos_intermediarios,10731
razer,2019,10,12,16,sim,6,4,111,FULLHD,AMOLED,não,0,1000,jogos_premium,15525
asus,2012,6,8,6,não,0,4,415,HD,IPS,não,2000,0,entrada,8978
hp,2015,12,13,16,sim,4,4,95,QUADHD,TN,não,0,1000,jogos_intermediarios,10877
lenovo,2012,12,20,16,sim,6,1,103,4K,IPS,não,1000,125,jogos_intermediarios,11564
asus,2019,6,7,2,não,0,2,554,FULLHD,IPS,não,0,250,ultraportatil,14577
razer,2014,8,15,8,não,0,3,565,QUADHD,OLED,não,500,250,premium,23078
razer,2019,4,8,32,sim,6,4,181,FULLHD,OLED,não,0,500,jogos_premium,17304
lenovo,2013,2,3,6,não,0,2,251,FULLHD,AMOLED,sim,250,250,2em1,9947
razer,2016,6,9,8,não,0,3,531,4K,AMOLED,não,0,250,premium,22714
hp,2022,10,12,12,sim,4,4,131,FULLHD,TN,não,0,1000,jogos_entrada,9568
positivo,2017,6,9,2,não,0,1,157,HD,TN,não,500,0,entrada,5753
dell,2017,6,11,64,não,0,3,88,HD,TN,não,500,0,entrada,5941
hp,2010,6,8,12,sim,4,4,33,FULLHD,OLED,não,2000,2000,jogos_intermediarios,10177
hp,2012,4,4,6,não,0,3,567,FULLHD,IPS,não,500,250,ultraportatil,18933
apple,2014,12,13,8,não,0,2,418,FULLHD,OLED,não,250,250,premium,20769
acer,2010,12,18,16,sim,6,2,185,FULLHD,AMOLED,não,1000,250,jogos_premium,25087
razer,2022,8,12,16,não,0,3,577,FULLHD,OLED,não,0,250,premium,16321
samsung,2019,12,16,8,sim,4,4,90,FULLHD,IPS,não,0,500,jogos_entrada,8105
asus,2011,12,18,16,não,0,3,446,FULLHD,OLED,não,1000,250,premium,24630
samsung,2023,8,8,12,não,0,2,343,FULLHD,IPS,sim,0,500,2em1,15001
positivo,2023,6,9,6,não,0,2,159,HD,TN,não,250,1000,entrada,5304
dell,2021,8,9,8,sim,2,4,129,FULLHD,IPS,não,0,2000,jogos_entrada,8703
acer,2015,12,20,16,sim,6,4,78,QUADHD,AMOLED,não,0,250,jogos_premium,15814
huawei,2013,10,15,8,não,0,3,586,QUADHD,OLED,não,250,250,premium,26604
samsung,2012,2,4,6,não,0,3,500,FULLHD,TN,não,1000,250,ultraportatil,17041
apple,2011,12,21,8,não,0,2,568,FULLHD,OLED,não,2000,250,premium,26996
lenovo,2012,6,9,12,sim,4,1,198,FULLHD,TN,não,250,125,jogos_entrada,9487
positivo,2012,4,4,12,não,0,1,218,HD,IPS,não,2000,0,entrada,6488
huawei,2016,12,14,16,não,0,2,417,FULLHD,OLED,não,0,500,premium,14460
razer,2019,8,12,16,não,0,2,462,4K,OLED,não,0,250,premium,15075
asus,2013,4,7,6,não,0,3,36,HD,OLED,não,2000,0,intermediario,5200
razer,2021,12,15,16,não,0,3,507,4K,AMOLED,não,0,500,premium,18948
positivo,2020,12,21,6,não,0,4,230,HD,TN,não,1000,0,entrada,7149
xiaomi,2020,4,4,16,não,0,2,426,4K,OLED,não,0,1000,premium,20604
xiaomi,2012,6,7,16,não,0,2,436,FULLHD,AMOLED,não,2000,250,premium,22011
lenovo,2023,10,13,8,não,0,2,560,FULLHD,IPS,não,0,500,ultraportatil,17521
lenovo,2015,6,7,8,não,0,2,432,FULLHD,IPS,sim,0,250,2em1,13826
apple,2015,10,14,16,não,0,3,528,4K,OLED,não,0,250,premium,20934
lenovo,2023,8,8,8,não,0,2,571,FULLHD,VA,não,0,250,ultraportatil,15958
xiaomi,2016,10,14,8,não,0,3,418,FULLHD,AMOLED,não,0,2000,premium,17462
samsung,2021,10,11,16,não,0,1,172,HD,TN,não,500,0,entrada,6803
xiaomi,2021,12,21,8,não,0,3,548,FULLHD,OLED,não,0,250,premium,21112
dell,2018,6,8,12,não,0,3,287,HD,IPS,não,0,250,intermediario,9056
apple,2018,10,20,8,não,0,2,428,FULLHD,AMOLED,não,0,500,premium,24289
hp,2011,6,6,16,sim,6,1,182,QUADHD,TN,não,1000,1000,jogos_intermediarios,11633
lenovo,2022,12,12,32,sim,8,4,77,FULLHD,AMOLED,não,0,1000,jogos_premium,13790
dell,2020,12,24,12,sim,4,4,55,FULLHD,OLED,não,0,1000,jogos_intermediarios,11854
dell,2011,2,2,12,sim,2,4,47,FULLHD,IPS,não,500,1000,jogos_entrada,7664
acer,2011,2,2,16,não,0,2,89,FULLHD,IPS,sim,2000,250,2em1,9931
xiaomi,2013,6,6,16,não,0,2,530,QUADHD,OLED,não,0,250,premium,25171
xiaomi,2022,12,14,16,não,0,2,575,QUADHD,OLED,não,0,250,premium,25602
acer,2021,6,10,16,sim,6,4,200,QUADHD,VA,não,0,500,jogos_intermediarios,11200
lenovo,2021,8,9,16,não,0,4,438,HD,TN,não,250,0,entrada,9655
xiaomi,2017,6,7,16,não,0,3,425,QUADHD,AMOLED,não,0,500,premium,22492
apple,2020,10,16,16,não,0,2,531,4K,OLED,não,0,250,premium,26229
dell,2012,4,5,6,não,0,3,287,HD,OLED,não,2000,0,intermediario,8931
lenovo,2014,8,12,12,não,0,2,319,FULLHD,IPS,sim,0,250,2em1,12960
xiaomi,2021,8,14,8,não,0,2,561,QUADHD,AMOLED,não,0,500,premium,19591
hp,2018,8,9,4,não,0,2,599,FULLHD,OLED,não,0,1000,ultraportatil,19691
asus,2012,4,8,16,não,0,2,592,FULLHD,IPS,não,0,250,ultraportatil,18923
huawei,2023,10,19,8,não,0,2,476,QUADHD,OLED,não,0,1000,premium,23377
lenovo,2023,8,12,16,não,0,2,145,FULLHD,IPS,sim,0,250,2em1,8118
xiaomi,2022,10,12,8,não,0,2,474,QUADHD,OLED,não,0,500,premium,23988
samsung,2011,4,5,6,não,0,2,343,FULLHD,IPS,sim,250,250,2em1,10319
huawei,2014,12,24,16,não,0,2,525,QUADHD,OLED,não,2000,250,premium,23650
apple,2011,6,7,16,não,0,2,461,QUADHD,OLED,não,250,250,premium,17129
dell,2016,12,18,16,não,0,2,432,4K,AMOLED,não,0,1000,premium,25783
acer,2019,10,15,16,não,0,3,514,QUADHD,AMOLED,não,0,1000,premium,22345
huawei,2012,12,14,8,não,0,2,591,4K,OLED,não,0,250,premium,23491
samsung,2013,2,4,6,não,0,2,39,FULLHD,IPS,sim,250,250,2em1,7257
apple,2012,4,8,16,não,0,3,526,QUADHD,OLED,não,250,250,premium,15688
razer,2022,10,13,32,sim,6,4,197,QUADHD,OLED,não,0,250,jogos_premium,21292
apple,2020,4,6,8,não,0,2,473,FULLHD,OLED,não,0,250,premium,17974
huawei,2012,8,15,8,não,0,2,439,QUADHD,OLED,não,2000,250,premium,15552
acer,2010,6,6,8,sim,4,2,175,FULLHD,IPS,não,1000,2000,jogos_entrada,10090
asus,2012,6,11,12,não,0,4,285,HD,IPS,não,1000,0,entrada,8143
asus,2013,6,7,6,não,0,2,73,FULLHD,IPS,sim,250,250,2em1,10133
samsung,2013,6,6,6,não,0,3,534,FULLHD,OLED,não,1000,125,ultraportatil,14463
asus,2010,4,4,12,não,0,3,459,HD,TN,não,0,1000,entrada,10620
huawei,2019,6,11,8,não,0,3,581,QUADHD,OLED,não,0,1000,premium,23371
samsung,2021,12,19,2,não,0,2,505,FULLHD,VA,não,0,500,ultraportatil,15332
dell,2011,4,8,8,sim,4,3,126,FULLHD,IPS,não,500,250,jogos_entrada,7896
apple,2012,12,19,8,não,0,2,417,QUADHD,OLED,não,0,500,premium,20110
samsung,2018,4,8,32,sim,6,4,99,4K,OLED,não,0,2000,jogos_premium,19357
dell,2012,6,9,12,não,0,1,211,HD,IPS,não,250,0,intermediario,7416
apple,2019,8,15,8,não,0,2,509,4K,OLED,não,0,250,premium,15632
hp,2014,4,5,8,não,0,3,575,FULLHD,VA,não,500,500,ultraportatil,17594
razer,2015,8,12,8,não,0,2,552,QUADHD,OLED,não,0,250,premium,22567
acer,2021,10,13,16,não,0,2,444,QUADHD,OLED,não,0,250,premium,24073
razer,2017,10,20,16,sim,6,3,62,FULLHD,AMOLED,não,0,250,jogos_premium,18427
xiaomi,2015,8,10,8,não,0,2,467,FULLHD,OLED,não,0,250,premium,20867
acer,2019,8,10,32,não,0,1,438,HD,IPS,não,2000,0,intermediario,12853
samsung,2018,4,7,12,não,0,1,57,HD,OLED,não,2000,0,intermediario,7444
samsung,2013,8,13,16,sim,6,1,126,FULLHD,TN,não,250,125,jogos_intermediarios,9425
razer,2018,6,8,8,não,0,2,537,QUADHD,OLED,não,0,1000,premium,18846
razer,2012,12,15,8,não,0,2,512,QUADHD,OLED,não,500,250,premium,25482
samsung,2019,12,22,16,não,0,2,583,QUADHD,AMOLED,não,0,500,premium,19338
asus,2012,12,24,8,não,0,3,454,QUADHD,AMOLED,não,0,1000,premium,24593
dell,2014,10,10,32,sim,6,3,161,4K,AMOLED,não,250,250,jogos_premium,20693
positivo,2020,10,13,64,não,0,2,65,HD,TN,não,1000,0,entrada,5777
dell,2018,4,6,8,sim,4,4,118,FULLHD,OLED,não,0,250,jogos_entrada,8287
xiaomi,2011,10,10,8,não,0,3,465,4K,AMOLED,não,500,250,premium,23104
asus,2016,4,5,16,não,0,3,526,FULLHD,AMOLED,sim,0,2000,2em1,16612
asus,2014,4,8,12,não,0,2,509,FULLHD,IPS,não,1000,125,ultraportatil,19044
huawei,2014,8,14,16,não,0,3,410,FULLHD,AMOLED,não,0,250,premium,23371
hp,2010,4,4,16,sim,6,2,100,QUADHD,IPS,não,250,500,jogos_intermediarios,9158
positivo,2019,4,7,64,não,0,3,255,HD,TN,não,1000,0,entrada,8053
asus,2018,12,21,8,não,0,2,441,QUADHD,OLED,não,0,2000,premium,16191
dell,2012,4,6,12,não,0,3,239,HD,IPS,não,1000,0,intermediario,8042
asus,2010,6,9,2,não,0,2,559,FULLHD,OLED,não,1000,1000,ultraportatil,15791
dell,2016,10,18,12,sim,4,3,139,FULLHD,OLED,não,0,500,jogos_entrada,9541
apple,2014,10,18,16,não,0,2,599,FULLHD,AMOLED,não,250,250,premium,21727
positivo,2012,6,7,6,não,0,4,129,HD,TN,não,0,250,entrada,5743
razer,2015,6,10,16,sim,6,3,126,FULLHD,AMOLED,não,0,500,jogos_premium,12383
asus,2014,6,9,12,não,0,4,457,HD,IPS,não,1000,0,intermediario,12416
hp,2022,10,17,6,não,0,3,513,FULLHD,TN,não,0,2000,ultraportatil,19930
razer,2016,10,13,16,sim,6,1,153,QUADHD,OLED,não,0,2000,jogos_premium,13809
asus,2014,8,14,16,não,0,3,507,4K,AMOLED,não,500,250,premium,18595
positivo,2018,4,6,8,não,0,2,287,HD,IPS,não,500,0,entrada,7067
asus,2018,10,10,8,não,0,3,429,HD,VA,não,0,2000,intermediario,13062
xiaomi,2019,10,10,16,não,0,2,497,FULLHD,OLED,não,0,1000,premium,25034
apple,2012,8,11,8,não,0,2,549,4K,AMOLED,não,500,250,premium,26491
razer,2021,10,17,8,não,0,2,594,4K,AMOLED,não,0,250,premium,23762
acer,2016,6,12,16,não,0,3,103,HD,TN,não,250,0,entrada,4323
lenovo,2011,12,13,32,sim,6,3,172,4K,OLED,não,500,250,jogos_premium,17377
razer,2012,12,14,8,não,0,2,529,4K,AMOLED,não,0,500,premium,19908
asus,2012,6,8,12,não,0,2,428,HD,IPS,não,250,0,entrada,9939
huawei,2019,12,20,16,não,0,2,473,FULLHD,OLED,não,0,500,premium,22672
razer,2019,12,14,8,não,0,2,548,4K,AMOLED,não,0,2000,premium,26730
asus,2015,8,16,4,não,0,3,500,FULLHD,OLED,não,0,250,ultraportatil,15642
samsung,2018,6,8,16,não,0,3,427,FULLHD,AMOLED,sim,0,250,premium,22125
huawei,2010,8,14,16,não,0,3,403,4K,AMOLED,não,1000,250,premium,16123
hp,2020,12,22,2,não,0,3,576,FULLHD,VA,não,0,250,ultraportatil,19521
razer,2010,12,14,8,não,0,2,477,QUADHD,AMOLED,não,2000,250,premium,19585
huawei,2015,8,9,8,não,0,2,407,4K,OLED,não,0,250,premium,18194
razer,2018,10,20,16,sim,6,4,180,4K,AMOLED,não,0,250,jogos_premium,19259
lenovo,2020,4,8,16,sim,6,4,55,4K,OLED,não,0,2000,jogos_intermediarios,11034
huawei,2012,6,6,8,não,0,2,592,QUADHD,AMOLED,não,1000,250,premium,19187
samsung,2015,10,19,12,não,0,4,570,HD,OLED,não,0,250,intermediario,14639
lenovo,2021,8,11,8,não,0,1,525,HD,OLED,não,250,0,intermediario,12824
lenovo,2016,4,5,8,sim,4,2,81,FULLHD,OLED,não,0,250,jogos_entrada,7117
samsung,2015,8,14,16,não,0,2,594,4K,IPS,sim,0,250,premium,18532
huawei,2016,4,8,16,não,0,3,599,4K,AMOLED,não,0,1000,premium,22684
positivo,2021,12,16,4,não,0,1,167,HD,IPS,não,1000,0,entrada,6206
acer,2016,8,8,16,sim,4,3,168,4K,OLED,não,0,250,jogos_intermediarios,12469
dell,2021,10,13,12,não,0,4,317,HD,IPS,não,500,0,intermediario,10695
lenovo,2015,10,18,32,não,0,2,579,HD,IPS,não,500,0,intermediario,14464
asus,2017,4,6,4,não,0,1,547,HD,TN,não,0,500,entrada,10576
samsung,2021,4,5,12,sim,4,4,200,FULLHD,OLED,não,0,500,jogos_entrada,8688
samsung,2015,10,19,16,não,0,3,469,FULLHD,AMOLED,não,0,250,premium,19561
acer,2023,12,16,8,sim,2,4,69,FULLHD,OLED,não,0,500,jogos_entrada,9110
asus,2021,6,6,12,não,0,2,552,HD,TN,não,2000,0,intermediario,14206
dell,2016,4,8,2,não,0,2,89,FULLHD,AMOLED,sim,0,1000,2em1,11191
apple,2012,6,8,8,não,0,2,575,4K,OLED,não,500,250,premium,20670
lenovo,2015,4,4,8,sim,4,1,182,FULLHD,VA,não,0,250,jogos_entrada,8731
positivo,2012,2,3,16,não,0,1,133,HD,IPS,não,1000,0,entrada,5636
apple,2015,4,7,8,não,0,3,506,QUADHD,OLED,não,0,250,premium,18114
dell,2012,6,7,8,não,0,3,449,4K,IPS,sim,2000,250,premium,17861
asus,2018,4,6,12,não,0,1,375,HD,IPS,não,250,0,entrada,8798
huawei,2015,6,11,8,não,0,2,427,4K,OLED,não,0,250,premium,23779
samsung,2022,10,18,16,sim,8,4,150,FULLHD,TN,não,0,250,jogos_intermediarios,11047
dell,2014,8,8,16,sim,6,1,136,4K,IPS,não,500,125,jogos_intermediarios,10208
huawei,2012,12,17,16,não,0,2,406,4K,AMOLED,não,250,250,premium,16096
hp,2021,10,20,16,sim,6,4,85,4K,OLED,não,0,1000,jogos_intermediarios,11944
asus,2013,2,3,8,não,0,2,502,FULLHD,IPS,sim,500,250,2em1,16744
xiaomi,2017,4,6,16,não,0,2,471,QUADHD,AMOLED,não,0,1000,premium,22919
xiaomi,2015,4,5,16,não,0,3,556,QUADHD,AMOLED,não,0,500,premium,20320
lenovo,2012,12,17,16,sim,6,1,182,FULLHD,VA,não,500,2000,jogos_intermediarios,13151
acer,2020,8,12,6,não,0,4,316,HD,IPS,não,250,0,entrada,8240
apple,2022,6,12,8,não,0,2,493,QUADHD,OLED,não,0,250,premium,18368
dell,2015,10,11,2,não,0,2,257,HD,IPS,não,500,0,entrada,8029
samsung,2016,8,9,8,sim,2,1,180,FULLHD,IPS,não,0,2000,jogos_entrada,9365
lenovo,2021,12,23,2,não,0,4,537,HD,IPS,não,1000,0,intermediario,13846
samsung,2012,6,12,8,não,0,3,95,HD,IPS,não,1000,0,entrada,4773
acer,2010,6,12,4,não,0,4,392,HD,VA,não,500,0,intermediario,11909
asus,2011,6,9,4,não,0,2,410,HD,VA,não,0,1000,intermediario,12637
razer,2013,6,9,16,sim,6,3,39,FULLHD,OLED,não,500,125,jogos_premium,14820
huawei,2019,10,17,16,não,0,2,505,QUADHD,AMOLED,não,0,250,premium,22630
samsung,2015,8,14,12,sim,4,2,161,FULLHD,OLED,não,0,500,jogos_entrada,8742
acer,2022,10,16,8,sim,2,4,181,FULLHD,IPS,não,0,500,jogos_entrada,8567
dell,2017,6,9,8,não,0,1,402,HD,IPS,não,250,0,entrada,9891
asus,2018,6,12,32,não,0,2,227,HD,IPS,não,0,500,intermediario,8739
hp,2015,4,7,4,não,0,3,542,FULLHD,OLED,não,0,250,ultraportatil,16074
dell,2015,8,12,12,sim,2,3,87,FULLHD,VA,não,0,250,jogos_entrada,6896
huawei,2022,4,5,16,não,0,2,553,QUADHD,AMOLED,não,0,250,premium,24173
dell,2023,10,13,12,sim,2,4,166,FULLHD,OLED,não,0,500,jogos_entrada,9909
positivo,2019,4,5,2,não,0,3,40,HD,TN,não,500,0,entrada,2846
lenovo,2022,6,10,32,sim,12,4,63,FULLHD,AMOLED,não,0,250,jogos_premium,23292
acer,2011,10,20,16,não,0,3,591,4K,AMOLED,não,1000,250,premium,19356
hp,2021,12,14,2,não,0,3,517,FULLHD,IPS,não,0,500,ultraportatil,19965
dell,2020,12,22,2,não,0,3,72,HD,VA,não,250,0,intermediario,7004
dell,2010,8,11,16,sim,4,3,165,4K,TN,não,1000,500,jogos_intermediarios,11703
asus,2020,4,7,16,não,0,2,446,QUADHD,IPS,sim,0,250,premium,20235
lenovo,2017,6,11,8,não,0,2,312,HD,TN,não,0,2000,entrada,8648
acer,2014,12,19,16,sim,6,4,43,QUADHD,IPS,não,0,250,jogos_intermediarios,9157
samsung,2020,6,11,32,não,0,2,596,FULLHD,VA,não,0,250,ultraportatil,17202
samsung,2015,6,8,12,sim,2,4,172,FULLHD,VA,não,0,500,jogos_entrada,9943
lenovo,2017,4,8,16,sim,6,1,80,FULLHD,AMOLED,não,0,2000,jogos_premium,15765
lenovo,2013,2,4,12,sim,4,2,44,FULLHD,IPS,não,0,500,jogos_entrada,6025
asus,2016,12,23,16,não,0,2,526,QUADHD,AMOLED,sim,0,500,premium,24927
asus,2013,6,9,6,não,0,2,423,HD,TN,não,0,250,entrada,9197
lenovo,2020,12,16,16,não,0,3,507,QUADHD,OLED,não,0,2000,premium,24137
samsung,2018,12,17,16,não,0,2,583,4K,AMOLED,sim,0,250,premium,23015
hp,2015,6,7,12,sim,2,1,83,FULLHD,IPS,não,0,250,jogos_entrada,6920
huawei,2021,4,5,8,não,0,3,504,4K,OLED,não,0,250,premium,15135
positivo,2018,6,12,32,não,0,3,216,HD,IPS,não,500,0,entrada,7969
positivo,2011,2,2,8,não,0,3,288,HD,TN,não,0,500,entrada,7374
samsung,2014,4,7,8,não,0,2,226,HD,IPS,não,250,0,entrada,7268
lenovo,2015,4,8,16,não,0,3,208,HD,IPS,não,1000,0,entrada,6984
xiaomi,2017,4,8,8,não,0,3,425,4K,AMOLED,não,0,250,premium,15120
