marca,ano,qtd_nucleos,qtd_threads,ram,gpu_dedicada,ram_gpu,entradas_usb,duracao_bateria,resolucao_tela,tipo_tela,tela_touch,armazenamento_hdd,armazenamento_ssd,aleatoria_1,aleatoria_2,aleatoria_3,valor
4,2010,4,4,8,1,4,1,135,1,4,0,500,2000,103,49,2464,8943
10,2013,12,16,16,0,0,2,495,0,0,0,0,250,128,38,2506,25773
0,2010,2,3,12,0,0,2,585,1,2,0,1000,125,104,39,2269,16451
2,2015,4,5,16,0,0,2,548,1,2,0,0,500,175,34,2577,24407
5,2016,10,13,16,0,0,2,502,1,2,0,0,1000,138,29,1317,23243
9,2010,6,7,12,1,6,4,96,0,1,0,500,500,122,19,1746,10021
2,2015,4,4,2,0,0,3,505,1,1,0,0,250,196,40,1029,13844
7,2023,6,8,32,0,0,2,93,2,1,0,0,500,115,10,1060,5597
3,2021,8,9,6,0,0,2,168,2,3,0,1000,0,149,19,2827,6032
5,2015,6,8,16,0,0,2,569,0,2,0,0,2000,110,27,1566,23000
5,2016,6,9,8,0,0,2,490,1,0,0,0,2000,171,45,1259,22438
2,2017,8,8,6,0,0,2,113,2,4,0,2000,0,196,22,1782,6868
5,2015,6,11,8,0,0,3,546,0,0,0,0,500,147,41,1623,19824
0,2022,12,16,8,0,0,3,537,0,2,0,0,500,133,31,2222,19719
6,2017,8,15,16,1,6,3,65,1,2,0,0,2000,120,15,1095,18771
10,2017,4,6,8,0,0,2,427,0,0,0,0,250,162,42,2632,15148
4,2017,10,18,8,1,2,1,126,1,1,0,0,250,116,10,2848,8877
1,2017,8,15,8,0,0,2,434,3,0,0,0,250,133,12,1318,17052
3,2018,10,11,2,0,0,4,498,2,1,0,250,0,150,14,1844,13291
2,2011,4,4,8,0,0,2,592,1,0,0,0,500,166,36,2343,20368
3,2011,8,16,16,1,6,2,177,0,0,0,500,2000,123,21,2168,22252
7,2014,6,11,8,0,0,2,194,2,1,0,0,1000,121,42,1820,7227
0,2012,6,8,12,1,4,2,80,1,1,0,250,250,109,36,2527,7810
4,2011,4,8,6,0,0,2,557,1,4,0,500,250,104,22,2191,15293
5,2017,6,8,16,0,0,2,514,0,0,0,0,250,130,20,1741,17256
5,2013,8,11,16,0,0,3,560,0,2,0,500,250,123,20,1069,26816
2,2021,6,10,16,0,0,2,580,3,0,0,0,1000,110,45,2150,19426
4,2018,10,11,4,0,0,2,577,1,1,0,0,250,150,13,1506,18316
0,2021,4,5,8,0,0,2,566,0,2,0,0,250,147,27,2073,22424
5,2020,4,8,16,0,0,3,478,0,2,0,0,1000,177,27,1835,23591
9,2017,8,13,4,0,0,3,543,1,3,0,0,250,103,37,2294,15411
0,2022,10,12,16,0,0,2,530,0,2,0,0,250,107,15,2095,23833
8,2020,4,4,32,1,6,4,101,1,0,0,0,2000,106,14,2441,19899
0,2021,4,8,16,0,0,2,562,1,0,0,0,1000,198,20,1757,16331
1,2019,10,19,8,0,0,2,581,0,0,0,0,500,131,14,2266,21990
10,2017,12,21,16,0,0,2,551,3,2,0,0,1000,185,18,2949,18893
5,2022,4,6,16,0,0,3,453,3,2,0,0,250,121,32,2494,14081
7,2013,4,6,6,0,0,4,47,2,1,0,250,0,189,20,1968,3293
5,2022,6,6,16,0,0,3,459,0,0,0,0,2000,135,24,2431,25461
4,2010,2,4,6,0,0,3,506,1,1,0,2000,1000,128,34,2131,16416
2,2012,6,7,2,0,0,2,376,1,0,1,2000,250,167,26,1519,15447
9,2021,4,6,16,1,6,4,42,1,2,0,0,250,194,35,1440,9241
7,2011,4,6,2,0,0,3,153,2,1,0,2000,0,185,23,2393,5302
3,2019,10,15,16,1,6,4,177,1,3,0,0,1000,160,48,2989,12159
10,2017,6,7,8,0,0,2,476,0,2,0,0,2000,152,18,2816,23410
9,2019,10,17,12,1,6,4,180,1,4,0,0,250,171,36,2228,12475
3,2018,4,7,2,0,0,2,448,1,1,1,0,250,184,44,2953,14569
10,2018,6,7,16,0,0,2,457,3,2,0,0,2000,114,36,1280,18577
6,2013,6,11,12,0,0,4,217,2,3,0,2000,0,147,25,2041,6517
4,2022,4,8,8,1,4,4,38,1,2,0,0,2000,153,31,2096,8397
2,2020,6,10,8,0,0,4,561,2,1,0,0,1000,167,39,2221,12779
0,2012,6,9,6,0,0,3,583,1,2,0,0,500,168,35,2549,20454
5,2011,12,16,16,0,0,2,594,0,0,0,250,250,199,48,2413,19126
10,2010,12,22,16,0,0,2,587,3,2,0,250,250,163,48,2489,24770
9,2017,4,7,2,0,0,2,123,2,3,0,500,0,165,42,2126,4723
0,2013,10,12,16,0,0,2,518,3,0,0,250,250,149,49,1217,24349
7,2016,10,12,16,0,0,1,54,2,1,0,500,0,171,10,2827,5180
3,2017,8,13,32,0,0,2,494,2,1,0,2000,0,146,21,2059,14561
7,2016,4,6,8,0,0,1,192,2,3,0,250,0,167,26,2226,5396
3,2019,8,11,4,0,0,1,265,2,1,0,2000,0,112,34,1657,9287
3,2018,12,22,12,1,6,1,54,3,3,0,0,250,113,38,1014,10484
6,2019,6,9,4,0,0,2,499,2,3,0,1000,0,108,37,1767,10874
1,2022,6,9,16,0,0,2,444,0,2,0,0,500,127,28,1989,21985
5,2016,10,12,16,0,0,2,458,1,2,0,0,250,137,19,2000,22095
8,2017,6,11,16,1,6,4,189,0,2,0,0,1000,111,20,1344,25126
7,2023,8,11,4,0,0,4,79,2,3,0,250,2000,191,19,1271,6030
5,2016,12,22,16,0,0,3,521,1,2,0,0,250,112,39,1075,20299
4,2017,8,9,12,1,4,2,156,3,1,0,0,250,120,16,1013,9840
9,2016,4,6,8,0,0,3,312,1,0,1,0,1000,154,14,2582,11681
0,2020,10,14,2,0,0,3,110,1,0,1,0,250,137,37,2717,8321
3,2015,8,16,12,1,4,3,154,3,2,0,0,1000,151,29,1057,12980
7,2011,4,6,2,0,0,3,168,2,1,0,250,0,125,41,1716,6072
6,2014,8,14,8,1,4,3,61,1,2,0,250,250,188,21,2021,7128
4,2012,10,20,12,1,4,3,180,1,2,0,2000,125,121,14,2254,11319
1,2016,4,8,8,0,0,2,471,3,2,0,0,2000,150,39,2693,16698
5,2019,10,18,16,0,0,3,567,0,2,0,0,500,171,42,1483,26377
3,2018,4,5,2,0,0,3,250,1,1,1,0,1000,136,19,2325,12080
5,2015,4,7,8,0,0,2,578,3,2,0,0,250,144,48,2551,22162
7,2023,6,11,64,0,0,4,168,2,1,0,500,500,185,36,2152,7467
1,2023,6,6,8,0,0,2,475,3,2,0,0,1000,176,21,1680,23797
0,2014,10,13,8,0,0,3,422,0,0,0,0,250,136,11,2756,20572
4,2014,10,12,16,1,6,1,33,1,2,0,500,1000,113,39,2912,9647
6,2019,6,11,16,1,6,4,96,3,4,0,0,2000,117,14,1794,12147
4,2023,8,12,16,1,6,4,146,0,3,0,0,2000,196,46,1204,11999
6,2010,6,12,12,0,0,2,587,1,1,1,1000,250,106,23,1061,18748
0,2015,8,16,8,1,2,1,51,1,1,0,0,250,173,35,1976,6231
8,2013,8,16,8,0,0,2,467,3,0,0,0,2000,159,17,1923,18890
3,2010,2,3,8,1,4,3,156,1,1,0,2000,500,157,40,1403,8893
9,2022,10,17,8,1,2,4,112,1,2,0,0,1000,193,12,1054,9712
0,2010,6,11,2,0,0,3,135,2,1,0,2000,0,154,37,1306,5783
4,2023,4,5,12,0,0,3,538,1,4,0,0,2000,133,23,1628,18677
5,2011,10,16,8,0,0,2,527,3,0,0,1000,250,144,20,2092,19774
2,2014,4,8,6,0,0,2,181,2,2,0,1000,0,102,38,2879,8255
8,2017,6,11,16,0,0,3,472,0,0,0,0,250,139,49,1200,16147
8,2022,8,10,8,0,0,3,537,0,0,0,0,250,175,21,1096,23406
3,2015,10,20,8,0,0,3,122,1,0,1,0,250,199,18,1417,12804
3,2021,4,4,8,0,0,3,539,3,1,1,0,250,152,45,1749,19838
7,2019,10,17,6,0,0,2,56,2,3,0,1000,0,130,28,1410,4787
2,2017,4,7,16,0,0,2,593,1,1,1,0,250,122,16,1612,17405
3,2012,6,7,8,1,4,1,179,1,1,0,0,1000,171,26,1608,9625
7,2016,6,10,6,0,0,4,81,2,3,0,500,0,164,32,2391,4842
0,2012,6,7,16,0,0,3,504,1,2,0,0,500,154,21,1293,23605
10,2015,10,13,16,0,0,3,497,1,2,0,0,250,198,16,1284,20593
8,2012,6,10,32,1,6,4,150,0,0,0,2000,125,178,34,1802,16178
7,2017,4,4,4,0,0,4,214,2,1,0,500,0,191,23,2299,5436
8,2011,10,20,32,1,6,2,32,0,2,0,1000,500,111,40,2682,13769
5,2010,10,14,8,0,0,3,453,1,2,0,0,250,100,34,2412,22067
1,2013,4,5,16,0,0,2,401,3,2,0,0,2000,110,20,1280,18056
2,2019,8,13,6,0,0,2,331,1,0,1,0,250,150,20,1604,13971
10,2019,8,12,8,0,0,3,525,0,2,0,0,250,165,16,2305,20893
3,2016,8,13,16,1,6,2,125,0,2,0,0,250,144,12,1877,10935
3,2011,4,7,8,1,2,2,34,1,3,0,0,1000,198,24,2970,6511
1,2020,8,14,16,0,0,2,457,1,2,0,0,500,171,12,1193,21092
4,2013,6,12,8,0,0,3,539,1,1,0,0,2000,130,26,1700,20362
7,2023,10,14,64,0,0,2,133,2,3,0,0,250,184,16,1910,7721
9,2019,4,8,2,0,0,2,316,2,3,0,0,250,152,20,2151,8391
0,2021,6,12,32,1,6,4,42,3,2,0,0,1000,144,29,1556,15734
6,2013,10,10,12,1,6,3,191,0,2,0,1000,125,166,10,2797,12019
7,2017,4,4,12,0,0,3,237,2,3,0,1000,0,188,41,1697,6020
0,2017,12,16,16,1,6,4,199,1,4,0,0,250,140,47,2920,11700
3,2011,4,6,12,0,0,3,218,1,0,1,0,250,127,30,2864,11828
0,2013,6,10,16,0,0,3,381,1,1,1,0,250,161,40,1042,15538
2,2013,6,10,12,0,0,2,341,1,0,1,2000,250,191,26,2807,13562
9,2020,6,12,16,0,0,4,150,2,3,0,500,0,101,34,1013,5800
3,2018,8,10,16,0,0,3,582,1,1,0,0,2000,171,42,2097,17823
3,2022,6,9,8,0,0,2,520,1,1,1,0,250,164,21,1018,22705
1,2012,6,9,16,0,0,3,409,0,2,0,1000,250,120,37,1050,24401
10,2021,6,6,8,0,0,2,485,0,0,0,0,1000,114,35,2415,18204
9,2011,4,7,16,1,6,1,44,0,2,0,0,1000,154,45,1303,19449
6,2019,6,12,12,1,4,4,36,1,2,0,0,250,107,17,2675,7427
1,2023,12,16,16,0,0,2,564,0,2,0,0,250,185,41,1709,23573
0,2015,8,14,16,0,0,3,587,1,3,0,0,1000,119,35,1290,20619
3,2010,6,11,12,1,4,3,97,1,4,0,1000,1000,176,14,2221,8981
8,2020,4,8,8,0,0,2,400,1,0,0,0,500,163,47,2541,18042
7,2010,6,6,12,0,0,2,280,2,3,0,2000,0,189,22,1354,7310
9,2021,4,5,32,0,0,2,284,2,2,0,0,2000,138,28,2259,11540
6,2016,4,6,16,0,0,3,437,0,2,0,0,2000,106,15,1266,23849
2,2010,2,3,4,0,0,1,470,2,1,0,0,1000,156,15,2274,12916
5,2012,6,10,8,0,0,3,409,3,0,0,2000,250,174,25,2957,14116
6,2023,10,13,12,1,4,4,54,0,2,0,0,250,130,38,2882,11433
6,2011,2,3,4,0,0,1,589,2,4,0,2000,0,133,27,2561,12988
8,2019,6,9,16,1,6,4,151,0,0,0,0,500,174,41,1923,18126
1,2014,6,7,16,0,0,3,510,1,2,0,2000,250,187,38,2607,15039
4,2017,4,6,12,1,2,4,148,1,4,0,0,1000,188,26,1088,8744
1,2013,6,6,8,0,0,3,496,0,0,0,250,250,150,14,2106,20831
2,2013,6,11,12,0,0,3,547,1,3,0,2000,2000,155,41,2999,20716
7,2022,10,10,64,0,0,2,83,2,3,0,0,250,196,38,2841,5838
7,2016,10,11,2,0,0,3,169,2,3,0,250,0,128,38,2977,5312
0,2012,8,16,16,1,4,2,58,3,1,0,500,2000,162,12,2561,11658
10,2015,12,23,16,0,0,2,436,0,2,0,0,250,184,13,2963,19489
9,2023,6,7,16,0,0,2,519,1,0,1,0,2000,132,34,2806,20823
5,2010,4,7,8,0,0,2,561,1,2,0,1000,250,144,31,2510,23085
1,2021,8,13,16,0,0,2,429,0,2,0,0,250,105,20,1459,18372
4,2014,4,6,16,1,6,3,123,0,3,0,0,500,136,17,2303,10389
5,2014,10,17,8,0,0,3,414,1,2,0,0,250,152,36,1844,18489
5,2017,6,9,16,0,0,2,460,0,0,0,0,250,101,31,1186,14935
1,2011,12,18,8,0,0,2,468,1,2,0,2000,250,193,12,2848,22742
7,2011,6,9,2,0,0,2,78,2,1,0,250,0,156,36,2424,4608
3,2015,10,10,16,0,0,2,506,1,2,0,0,2000,191,20,2996,17561
2,2018,6,6,12,0,0,1,131,2,1,0,0,250,195,36,2616,5768
2,2021,8,16,32,0,0,2,560,1,2,0,0,2000,150,16,1490,21499
7,2020,6,8,8,0,0,1,135,2,1,0,500,0,190,36,2664,5183
3,2015,10,15,2,0,0,2,150,1,0,1,0,250,138,20,1138,9101
10,2020,6,9,8,0,0,3,587,3,2,0,0,2000,121,34,1275,23634
2,2016,8,14,12,0,0,1,351,2,3,0,250,0,178,48,2566,9032
10,2022,6,12,16,0,0,3,486,1,2,0,0,500,142,25,2771,16255
2,2023,10,20,16,0,0,2,49,1,0,1,0,250,137,30,1610,10867
0,2022,10,19,8,0,0,3,591,0,2,0,0,500,163,35,2190,24090
9,2023,6,12,12,1,4,4,30,0,3,0,0,250,136,36,1446,9680
2,2017,10,14,4,0,0,3,580,1,4,0,0,250,199,26,2029,18553
9,2016,8,14,12,1,6,1,71,3,1,0,0,250,137,40,1354,8962
0,2012,2,3,2,0,0,4,236,2,1,0,250,0,170,23,1795,5994
8,2013,8,9,16,1,6,4,70,1,2,0,1000,2000,130,32,1946,12835
3,2021,6,10,12,1,4,4,64,0,2,0,0,1000,143,11,2076,10179
2,2019,8,15,16,0,0,3,573,1,1,0,0,1000,193,35,2139,17165
1,2019,12,23,16,0,0,2,428,3,0,0,0,250,113,35,2000,18148
10,2012,6,6,8,0,0,2,529,0,2,0,250,250,197,31,2323,25057
8,2017,6,9,8,0,0,3,575,1,0,0,0,500,151,37,2088,16505
4,2018,4,8,8,1,4,3,166,1,4,0,0,250,190,15,2231,7974
3,2019,6,7,32,1,6,4,36,3,2,0,0,500,186,48,2776,20438
2,2016,10,17,16,0,0,2,474,1,0,1,0,250,166,28,1108,16848
6,2017,4,7,12,1,4,2,180,1,4,0,0,250,104,30,2803,8638
2,2022,4,8,32,0,0,3,248,2,3,0,0,500,141,29,1155,9446
7,2017,4,8,6,0,0,3,299,2,3,0,1000,0,193,40,2791,7859
1,2016,10,16,8,0,0,2,541,0,2,0,0,250,106,36,2012,22923
6,2014,4,4,4,0,0,2,531,1,4,0,500,1000,117,24,2998,16349
0,2015,8,10,12,1,4,2,125,1,2,0,0,250,156,40,1583,9126
0,2019,6,12,12,0,0,2,595,1,1,0,0,2000,173,18,1963,18773
5,2022,10,17,8,0,0,2,590,1,0,0,0,500,143,26,2758,18978
8,2022,12,14,8,0,0,2,435,3,2,0,0,500,197,28,1760,18414
1,2011,8,10,16,0,0,3,478,0,2,0,0,250,160,41,2133,21399
10,2016,12,18,16,0,0,3,476,1,0,0,0,250,196,19,1029,19266
4,2020,8,10,16,1,6,4,107,0,4,0,0,250,162,49,2014,11753
1,2019,8,8,16,0,0,2,523,3,0,0,0,250,131,14,2442,23549
6,2010,8,9,16,0,0,2,548,1,2,0,500,250,194,22,2413,23336
0,2011,2,3,8,0,0,2,377,1,0,1,500,250,127,36,1357,14211
5,2023,12,19,16,0,0,2,432,3,2,0,0,250,103,11,1596,15955
2,2013,2,4,16,0,0,2,237,1,0,1,0,1000,114,10,2565,11866
7,2014,6,10,2,0,0,1,138,2,1,0,2000,0,101,17,2404,6081
3,2010,8,15,16,1,6,3,176,3,4,0,2000,2000,122,19,1847,12407
7,2023,6,12,64,0,0,1,228,2,3,0,500,1000,158,37,2854,8691
1,2011,6,6,8,0,0,2,423,3,0,0,500,250,122,14,1775,21744
6,2018,6,10,8,0,0,3,595,1,2,0,0,250,198,11,1730,18584
4,2022,6,8,8,1,2,4,134,1,3,0,0,1000,190,26,2151,7220
9,2018,6,11,8,0,0,3,535,1,4,0,0,250,125,42,1288,14265
1,2018,8,15,8,0,0,2,598,3,0,0,0,1000,133,34,2834,21391
9,2018,12,22,16,1,6,4,140,1,0,0,0,1000,112,14,2099,13781
6,2016,6,9,8,0,0,3,545,0,0,0,0,2000,139,37,1298,24429
8,2015,4,7,16,0,0,3,493,0,0,0,0,250,150,27,2580,15652
9,2018,4,4,8,0,0,3,446,1,1,1,0,2000,109,32,1745,16302
6,2016,4,6,4,0,0,1,568,2,3,0,250,0,138,44,2779,10833
7,2016,6,8,12,0,0,1,75,2,3,0,1000,0,189,27,1470,3824
5,2019,4,5,8,0,0,2,428,1,2,0,0,1000,103,20,2973,16742
0,2022,6,8,32,1,12,4,59,3,0,0,0,250,181,19,1749,19096
10,2014,8,16,16,0,0,3,439,3,0,0,2000,250,198,19,2510,16897
7,2020,8,12,2,0,0,2,209,2,3,0,500,0,151,45,1493,6342
0,2018,6,6,16,0,0,2,594,1,2,0,0,250,180,18,1114,15652
8,2012,4,8,32,1,6,4,199,1,0,0,2000,1000,155,22,2394,14411
2,2011,10,17,8,0,0,3,514,1,1,1,500,250,126,32,2472,15303
5,2018,4,5,16,0,0,2,436,0,0,0,0,1000,107,10,2926,15989
10,2011,6,9,8,0,0,2,531,0,0,0,250,250,152,25,1163,23381
0,2015,8,16,16,1,6,3,189,0,4,0,0,1000,112,28,1792,11991
0,2020,10,20,4,0,0,3,517,1,2,0,0,250,145,21,1212,17201
10,2021,8,9,16,0,0,2,543,3,2,0,0,250,185,14,1292,24767
10,2018,12,22,8,0,0,2,523,3,0,0,0,250,135,14,2144,18516
2,2016,10,19,6,0,0,3,549,1,3,0,0,1000,142,16,1395,16397
5,2020,6,10,8,0,0,2,508,3,0,0,0,500,193,23,2951,15392
7,2021,10,14,2,0,0,2,198,2,1,0,500,0,134,42,2968,7093
5,2010,6,12,16,0,0,2,440,1,2,0,2000,250,150,15,1421,19157
8,2019,4,8,8,0,0,3,525,0,2,0,0,1000,162,27,2591,21909
7,2021,6,9,64,0,0,2,128,2,3,0,250,0,167,15,2103,6178
3,2021,12,19,16,0,0,3,544,3,1,1,0,2000,112,39,2984,27056
9,2011,2,4,8,1,4,3,63,1,4,0,250,1000,146,21,2899,7690
9,2013,6,9,16,0,0,2,227,2,1,0,0,1000,105,44,2404,7527
10,2015,4,6,8,0,0,2,514,3,0,0,0,250,117,20,1281,20955
9,2019,6,10,32,0,0,3,496,2,2,0,250,0,107,13,1568,13353
2,2020,12,21,6,0,0,3,365,2,3,0,250,0,140,22,1909,9632
8,2020,8,14,16,0,0,2,492,1,2,0,0,250,160,10,1439,17897
