marca,ano,qtd_nucleos,qtd_threads,ram,gpu_dedicada,ram_gpu,entradas_usb,duracao_bateria,resolucao_tela,tipo_tela,tela_touch,armazenamento_hdd,armazenamento_ssd,segmento
razer,2022.0,8,15,16,não,0,2,,FULLHD,AMOLED,,0,500,premium
samsung,2013.0,6,8,16,sim,4,3,86.0,FULLHD,OLED,não,0,250,jogos_intermediarios
dell,2015.0,8,13,6,não,0,2,402.0,HD,IPS,não,500,0,intermediario
razer,2022.0,4,6,8,não,0,3,491.0,4K,OLED,,0,500,premium
xiaomi,2015.0,4,5,8,não,0,2,465.0,4K,AMOLED,,0,500,premium
samsung,2020.0,4,7,12,não,0,2,,FULLHD,IPS,sim,0,500,2em1
asus,,2,3,16,não,0,3,547.0,HD,TN,,1000,0,intermediario
apple,2021.0,6,10,8,não,0,2,,4K,AMOLED,não,0,250,premium
apple,2015.0,10,10,8,não,0,2,525.0,4K,AMOLED,não,0,1000,premium
asus,2011.0,2,2,16,não,0,3,564.0,FULLHD,VA,,1000,500,ultraportatil
samsung,2018.0,6,6,16,sim,6,4,183.0,QUADHD,AMOLED,,0,250,jogos_premium
huawei,2018.0,4,7,8,não,0,3,582.0,4K,OLED,não,0,1000,premium
acer,2023.0,10,13,32,sim,12,4,37.0,4K,OLED,,0,1000,jogos_premium
apple,2017.0,12,19,16,não,0,2,436.0,FULLHD,AMOLED,não,0,1000,premium
xiaomi,2010.0,8,8,16,não,0,2,409.0,FULLHD,AMOLED,,500,250,premium
dell,2017.0,8,13,16,sim,6,1,111.0,QUADHD,AMOLED,não,0,250,jogos_premium
lenovo,2013.0,4,5,4,não,0,3,556.0,FULLHD,IPS,,500,1000,ultraportatil
xiaomi,2014.0,10,13,8,não,0,2,532.0,4K,OLED,,250,250,premium
positivo,2012.0,6,7,2,não,0,1,46.0,HD,IPS,não,2000,0,entrada
hp,2023.0,10,16,12,sim,2,4,111.0,FULLHD,VA,,0,500,jogos_entrada
huawei,,6,11,8,não,0,2,491.0,FULLHD,OLED,,0,500,premium
acer,2013.0,12,15,16,sim,4,3,104.0,QUADHD,TN,não,250,2000,jogos_intermediarios
asus,2023.0,12,18,16,não,0,2,583.0,4K,AMOLED,sim,0,2000,premium
dell,2015.0,8,12,8,não,0,3,491.0,FULLHD,IPS,sim,0,2000,2em1
razer,2022.0,12,15,16,sim,8,4,40.0,4K,OLED,não,0,2000,jogos_premium
positivo,2016.0,6,7,12,não,0,2,299.0,HD,TN,não,500,0,entrada
huawei,2011.0,10,10,8,não,0,3,431.0,QUADHD,AMOLED,,2000,250,premium
hp,2013.0,4,4,8,sim,2,4,139.0,FULLHD,OLED,,500,2000,jogos_entrada
razer,2010.0,10,17,16,não,0,2,425.0,QUADHD,OLED,não,0,500,premium
lenovo,2013.0,4,4,12,não,0,2,522.0,HD,TN,não,500,0,intermediario
razer,,8,16,8,não,0,3,526.0,QUADHD,OLED,,2000,250,premium
huawei,2019.0,6,6,8,não,0,2,582.0,QUADHD,OLED,,0,500,premium
lenovo,2023.0,10,16,16,não,0,3,392.0,FULLHD,IPS,,0,1000,2em1
samsung,2016.0,8,9,12,não,0,2,250.0,FULLHD,IPS,sim,0,1000,2em1
dell,2020.0,6,12,8,sim,2,4,75.0,FULLHD,TN,não,0,500,jogos_entrada
hp,,4,7,8,sim,2,4,53.0,FULLHD,VA,,0,2000,jogos_entrada
samsung,2013.0,10,16,8,não,0,3,485.0,4K,IPS,sim,250,250,premium
xiaomi,2011.0,4,6,8,não,0,2,422.0,FULLHD,AMOLED,,500,250,premium
dell,2010.0,4,7,8,não,0,2,373.0,HD,IPS,não,500,0,entrada
asus,2019.0,8,11,6,não,0,3,516.0,FULLHD,TN,não,0,500,ultraportatil
hp,2022.0,4,5,8,sim,2,4,75.0,FULLHD,VA,,0,250,jogos_entrada
lenovo,2014.0,12,24,16,sim,6,2,170.0,4K,AMOLED,,500,1000,jogos_premium
positivo,2014.0,8,8,12,não,0,4,290.0,HD,IPS,não,1000,0,entrada
razer,2018.0,6,9,16,não,0,3,534.0,FULLHD,OLED,não,0,250,premium
positivo,2019.0,8,14,32,não,0,1,233.0,HD,IPS,,500,0,entrada
acer,2013.0,8,12,16,sim,6,1,89.0,4K,IPS,,1000,500,jogos_intermediarios
positivo,2022.0,10,15,6,não,0,2,203.0,HD,IPS,não,250,250,entrada
razer,2018.0,4,7,16,não,0,2,475.0,QUADHD,OLED,não,0,250,premium
positivo,,6,12,6,não,0,2,184.0,HD,TN,,2000,0,entrada
acer,2019.0,10,19,32,sim,6,4,176.0,QUADHD,OLED,,0,500,jogos_premium
apple,2014.0,10,19,8,não,0,3,540.0,FULLHD,AMOLED,,0,1000,premium
dell,2023.0,12,13,16,sim,6,4,67.0,FULLHD,OLED,não,0,250,jogos_intermediarios
xiaomi,2021.0,12,13,16,não,0,3,482.0,4K,AMOLED,,0,250,premium
dell,,10,16,16,não,0,2,519.0,4K,IPS,sim,0,1000,premium
apple,,8,11,16,não,0,2,,4K,OLED,,0,1000,premium
acer,2011.0,6,12,4,não,0,3,582.0,FULLHD,AMOLED,sim,250,250,2em1
lenovo,2013.0,4,4,16,sim,6,2,77.0,QUADHD,OLED,,2000,250,jogos_intermediarios
xiaomi,2011.0,6,10,8,não,0,3,449.0,FULLHD,AMOLED,,500,250,premium
samsung,2020.0,6,12,12,não,0,1,349.0,HD,VA,,0,500,intermediario
hp,2015.0,10,18,4,não,0,3,586.0,FULLHD,VA,,0,500,ultraportatil
acer,2013.0,4,8,8,não,0,2,511.0,QUADHD,AMOLED,,2000,250,premium
razer,2022.0,10,14,32,sim,12,4,176.0,FULLHD,OLED,não,0,2000,jogos_premium
positivo,2021.0,8,15,2,não,0,4,266.0,HD,TN,,0,250,entrada
positivo,2010.0,6,9,4,não,0,4,289.0,HD,IPS,não,2000,0,entrada
huawei,2014.0,4,4,16,não,0,2,406.0,4K,OLED,,2000,250,premium
lenovo,,2,3,16,não,0,4,546.0,HD,TN,,1000,0,entrada
hp,2019.0,6,12,12,sim,4,4,137.0,FULLHD,TN,não,0,500,jogos_entrada
huawei,2011.0,12,20,8,não,0,3,532.0,QUADHD,OLED,não,250,250,premium
acer,2013.0,2,4,12,não,0,2,134.0,FULLHD,IPS,sim,250,250,2em1
hp,,10,19,4,não,0,2,579.0,FULLHD,IPS,não,0,500,ultraportatil
asus,2013.0,4,4,8,não,0,2,408.0,FULLHD,AMOLED,,1000,250,premium
samsung,2012.0,2,4,6,não,0,3,505.0,FULLHD,IPS,não,500,500,ultraportatil
razer,,8,11,16,sim,6,1,132.0,4K,AMOLED,não,500,250,jogos_premium
xiaomi,,10,16,16,não,0,2,462.0,QUADHD,AMOLED,,0,500,premium
samsung,,6,8,32,não,0,3,514.0,FULLHD,VA,,0,2000,ultraportatil
hp,,6,7,8,não,0,2,584.0,FULLHD,IPS,não,250,500,ultraportatil
hp,2013.0,2,3,12,sim,2,3,73.0,FULLHD,VA,não,500,1000,jogos_entrada
positivo,,2,3,2,não,0,3,190.0,HD,TN,não,2000,0,entrada
asus,2015.0,8,11,16,não,0,2,516.0,FULLHD,AMOLED,sim,0,2000,premium
samsung,2021.0,12,22,16,sim,4,4,137.0,QUADHD,IPS,não,0,1000,jogos_intermediarios
asus,2016.0,6,10,2,não,0,3,556.0,FULLHD,VA,,0,250,ultraportatil
apple,2018.0,4,5,16,não,0,2,417.0,4K,OLED,,0,250,premium
lenovo,2023.0,12,24,8,sim,2,4,126.0,FULLHD,IPS,,0,500,jogos_entrada
lenovo,2012.0,4,5,4,não,0,2,561.0,FULLHD,OLED,não,2000,125,ultraportatil
dell,2018.0,8,14,8,não,0,1,111.0,HD,OLED,não,0,1000,intermediario
lenovo,2010.0,4,5,12,sim,2,2,164.0,FULLHD,OLED,,250,250,jogos_entrada
huawei,2016.0,6,12,16,não,0,2,591.0,QUADHD,AMOLED,,0,250,premium
huawei,2019.0,8,14,16,não,0,2,407.0,4K,OLED,,0,250,premium
lenovo,2017.0,8,13,2,não,0,4,,HD,TN,,250,0,intermediario
asus,2016.0,12,20,16,não,0,3,476.0,QUADHD,AMOLED,,0,1000,premium
positivo,,2,2,8,não,0,1,248.0,HD,TN,,2000,0,entrada
apple,2014.0,6,8,16,não,0,3,427.0,QUADHD,AMOLED,,250,250,premium
apple,2015.0,10,16,8,não,0,2,513.0,4K,AMOLED,não,0,250,premium
positivo,2012.0,4,7,4,não,0,1,263.0,HD,TN,não,1000,0,entrada
xiaomi,2015.0,10,15,16,não,0,3,427.0,4K,OLED,,0,500,premium
samsung,2016.0,6,6,16,não,0,2,62.0,HD,TN,não,0,1000,entrada
lenovo,2019.0,10,14,16,sim,6,4,132.0,QUADHD,VA,,0,250,jogos_intermediarios
dell,,8,11,8,sim,4,4,,FULLHD,VA,,0,1000,jogos_entrada
xiaomi,2019.0,12,14,16,não,0,2,517.0,4K,AMOLED,não,0,2000,premium
xiaomi,2023.0,4,5,16,não,0,2,516.0,QUADHD,OLED,não,0,250,premium
positivo,2019.0,12,22,2,não,0,1,81.0,HD,TN,,0,250,entrada
positivo,2012.0,2,2,6,não,0,1,72.0,HD,IPS,não,2000,0,entrada
huawei,2014.0,12,16,8,não,0,2,,QUADHD,AMOLED,não,250,250,premium
hp,2010.0,2,3,12,não,0,3,574.0,FULLHD,IPS,,1000,1000,ultraportatil
razer,2016.0,8,15,16,sim,6,2,52.0,QUADHD,OLED,,0,2000,jogos_premium
razer,2020.0,4,4,8,não,0,3,539.0,FULLHD,OLED,,0,250,premium
apple,2015.0,6,7,16,não,0,2,493.0,QUADHD,AMOLED,não,0,250,premium
samsung,2010.0,2,3,6,não,0,2,,FULLHD,IPS,não,250,1000,ultraportatil
razer,2013.0,4,7,8,não,0,2,594.0,QUADHD,OLED,não,250,250,premium
razer,2018.0,10,15,8,não,0,3,573.0,FULLHD,OLED,,0,250,premium
hp,2021.0,4,8,4,não,0,2,506.0,FULLHD,IPS,,0,500,ultraportatil
huawei,2021.0,12,16,8,não,0,3,524.0,QUADHD,OLED,,0,2000,premium
huawei,2017.0,10,14,16,não,0,2,570.0,4K,AMOLED,,0,250,premium
samsung,2023.0,8,14,32,não,0,2,587.0,FULLHD,TN,não,0,500,ultraportatil
razer,,12,21,16,sim,6,4,53.0,FULLHD,AMOLED,,0,500,jogos_premium
lenovo,2017.0,12,16,16,não,0,3,427.0,4K,AMOLED,,0,250,premium
acer,2012.0,6,6,12,sim,2,1,189.0,FULLHD,IPS,,0,2000,jogos_entrada
razer,2016.0,8,12,16,não,0,2,523.0,QUADHD,OLED,,0,2000,premium
positivo,2018.0,8,16,64,não,0,4,,HD,TN,,0,500,entrada
hp,2015.0,6,12,4,não,0,3,539.0,FULLHD,IPS,,0,250,ultraportatil
razer,2021.0,12,20,8,não,0,3,412.0,FULLHD,OLED,não,0,2000,premium
,2013.0,2,4,2,não,0,2,374.0,HD,IPS,,0,1000,entrada
huawei,2022.0,6,10,16,não,0,3,519.0,4K,AMOLED,,0,1000,premium
huawei,2020.0,12,12,8,não,0,3,538.0,4K,OLED,,0,500,premium
lenovo,,4,4,16,não,0,3,338.0,FULLHD,IPS,sim,1000,250,2em1
razer,,12,18,16,sim,6,3,69.0,4K,AMOLED,,0,2000,jogos_premium
xiaomi,2018.0,4,6,16,não,0,3,452.0,FULLHD,OLED,não,0,250,premium
acer,2011.0,6,10,8,sim,2,3,91.0,FULLHD,OLED,não,2000,125,jogos_entrada
xiaomi,2012.0,8,10,16,não,0,2,427.0,FULLHD,OLED,não,2000,250,premium
xiaomi,2013.0,10,18,8,não,0,2,,FULLHD,AMOLED,não,500,250,premium
razer,2013.0,6,9,16,sim,6,2,175.0,4K,AMOLED,,2000,500,jogos_premium
razer,2019.0,12,15,8,não,0,3,596.0,FULLHD,AMOLED,,0,2000,premium
xiaomi,2021.0,10,17,16,não,0,3,532.0,QUADHD,AMOLED,não,0,250,premium
samsung,,10,20,16,sim,6,4,63.0,4K,AMOLED,não,2000,250,jogos_premium
dell,2016.0,10,14,12,sim,4,2,89.0,FULLHD,TN,,0,1000,jogos_entrada
apple,2020.0,8,8,8,não,0,2,461.0,4K,AMOLED,não,0,250,premium
acer,2017.0,6,11,8,não,0,3,547.0,FULLHD,VA,não,0,500,ultraportatil
xiaomi,2013.0,6,12,16,não,0,2,,QUADHD,OLED,,0,1000,premium
razer,2012.0,6,7,16,não,0,2,501.0,FULLHD,OLED,não,2000,250,premium
positivo,,10,12,8,não,0,1,217.0,HD,IPS,não,500,0,entrada
xiaomi,2012.0,12,15,8,não,0,3,427.0,QUADHD,AMOLED,,0,250,premium
acer,2019.0,4,6,4,não,0,1,89.0,HD,TN,não,500,0,entrada
positivo,2014.0,10,10,32,não,0,4,143.0,HD,TN,não,0,250,entrada
hp,2011.0,4,5,12,sim,2,4,156.0,FULLHD,VA,não,1000,500,jogos_entrada
xiaomi,2014.0,8,10,16,não,0,2,436.0,4K,AMOLED,não,1000,250,premium
samsung,2014.0,8,16,16,não,0,2,520.0,HD,IPS,não,1000,0,entrada
acer,2016.0,6,7,32,não,0,2,544.0,FULLHD,IPS,não,0,250,ultraportatil
apple,2012.0,6,10,8,não,0,2,556.0,4K,AMOLED,,2000,250,premium
hp,2017.0,6,11,12,sim,4,3,118.0,FULLHD,IPS,não,0,500,jogos_intermediarios
dell,2021.0,8,16,16,não,0,3,518.0,4K,OLED,não,0,500,premium
apple,2022.0,12,17,16,não,0,2,,FULLHD,OLED,,0,2000,premium
hp,2022.0,12,14,16,sim,4,4,101.0,4K,VA,não,0,500,jogos_intermediarios
hp,2019.0,12,13,12,sim,2,4,178.0,FULLHD,IPS,,0,1000,jogos_entrada
huawei,2020.0,10,18,8,não,0,2,502.0,FULLHD,OLED,,0,1000,premium
dell,2023.0,8,8,16,não,0,2,474.0,FULLHD,AMOLED,não,0,500,premium
lenovo,2019.0,10,17,64,não,0,3,549.0,FULLHD,TN,,0,250,ultraportatil
hp,2011.0,6,10,16,não,0,3,,FULLHD,OLED,não,2000,125,ultraportatil
razer,,10,11,8,não,0,2,421.0,4K,AMOLED,,0,2000,premium
huawei,2021.0,8,13,16,não,0,2,446.0,QUADHD,AMOLED,,0,1000,premium
dell,2023.0,6,11,12,sim,4,4,,4K,TN,não,0,250,jogos_intermediarios
apple,2016.0,10,13,8,não,0,3,533.0,QUADHD,OLED,,0,500,premium
positivo,2021.0,10,16,64,não,0,1,106.0,HD,TN,não,0,250,entrada
,2010.0,10,20,32,sim,6,4,86.0,FULLHD,OLED,não,1000,500,jogos_premium
hp,2010.0,6,8,8,sim,2,2,59.0,FULLHD,TN,,0,250,jogos_entrada
lenovo,2014.0,6,8,32,não,0,2,263.0,HD,OLED,,2000,0,intermediario
dell,2015.0,6,12,12,sim,6,3,188.0,4K,IPS,,0,500,jogos_intermediarios
dell,2022.0,10,13,32,não,0,2,151.0,HD,TN,não,250,500,entrada
razer,2020.0,6,11,8,não,0,2,503.0,QUADHD,OLED,não,0,2000,premium
samsung,2020.0,6,6,8,não,0,2,433.0,FULLHD,IPS,,0,250,premium
asus,2019.0,6,6,32,não,0,2,555.0,FULLHD,TN,,0,250,ultraportatil
lenovo,2015.0,8,15,16,não,0,2,478.0,FULLHD,AMOLED,,0,1000,premium
lenovo,2018.0,6,11,2,não,0,3,550.0,FULLHD,OLED,,0,250,ultraportatil
xiaomi,2010.0,4,8,16,não,0,3,403.0,4K,OLED,,1000,250,premium
xiaomi,2018.0,6,8,16,não,0,3,567.0,QUADHD,OLED,,0,2000,premium
asus,2022.0,8,9,8,não,0,3,483.0,FULLHD,OLED,não,0,1000,premium
apple,2014.0,10,15,8,não,0,3,426.0,FULLHD,AMOLED,não,500,250,premium
lenovo,2021.0,10,10,2,não,0,1,512.0,HD,TN,não,250,0,entrada
asus,2014.0,12,20,8,não,0,3,508.0,QUADHD,OLED,,500,250,premium
xiaomi,2017.0,12,23,8,não,0,3,496.0,4K,OLED,,0,250,premium
xiaomi,2017.0,10,13,16,não,0,2,419.0,4K,AMOLED,não,0,250,premium
lenovo,2020.0,4,6,16,sim,6,4,151.0,QUADHD,VA,não,0,1000,jogos_intermediarios
lenovo,2014.0,6,6,12,sim,4,1,73.0,QUADHD,OLED,,1000,125,jogos_intermediarios
lenovo,2023.0,6,10,8,sim,2,4,185.0,FULLHD,VA,,0,250,jogos_entrada
samsung,2021.0,12,12,12,não,0,2,565.0,FULLHD,OLED,,0,500,ultraportatil
acer,2013.0,4,5,12,sim,2,3,46.0,FULLHD,TN,,1000,2000,jogos_entrada
dell,2014.0,4,7,32,sim,6,2,164.0,FULLHD,OLED,não,2000,500,jogos_premium
lenovo,2017.0,4,6,8,não,0,3,323.0,FULLHD,AMOLED,sim,0,2000,2em1
acer,2012.0,4,7,12,sim,6,4,174.0,FULLHD,OLED,,500,250,jogos_intermediarios
lenovo,2020.0,12,16,16,sim,4,4,92.0,FULLHD,TN,não,0,250,jogos_intermediarios
lenovo,2014.0,8,8,2,não,0,3,357.0,FULLHD,AMOLED,,250,250,2em1
apple,2020.0,12,24,8,não,0,2,415.0,4K,OLED,não,0,1000,premium
dell,2010.0,6,8,2,não,0,3,551.0,FULLHD,VA,não,0,2000,ultraportatil
hp,2020.0,6,10,16,não,0,2,545.0,FULLHD,TN,,0,500,ultraportatil
razer,2021.0,8,16,16,sim,6,4,75.0,FULLHD,AMOLED,não,0,2000,jogos_premium
asus,2019.0,4,6,8,não,0,3,429.0,FULLHD,OLED,não,0,250,premium
dell,2015.0,4,7,8,não,0,3,562.0,4K,OLED,,0,1000,premium
acer,2014.0,8,15,16,sim,6,4,154.0,QUADHD,AMOLED,,0,2000,jogos_premium
xiaomi,2021.0,4,6,8,não,0,3,414.0,FULLHD,AMOLED,,0,1000,premium
huawei,2019.0,12,14,16,não,0,3,516.0,QUADHD,OLED,,0,250,premium
lenovo,2023.0,12,21,8,sim,2,4,94.0,FULLHD,TN,não,0,1000,jogos_entrada
hp,2017.0,10,13,12,sim,4,1,49.0,FULLHD,TN,,0,250,jogos_entrada
acer,2010.0,2,4,12,sim,4,4,142.0,FULLHD,OLED,,0,250,jogos_entrada
apple,2012.0,6,12,16,não,0,2,576.0,4K,AMOLED,não,1000,250,premium
apple,2013.0,6,7,8,não,0,3,,4K,OLED,,250,250,premium
razer,2018.0,4,6,16,sim,6,2,115.0,FULLHD,AMOLED,não,0,250,jogos_premium
razer,2015.0,8,9,8,não,0,3,400.0,4K,OLED,,0,1000,premium
hp,2010.0,4,7,12,sim,4,2,141.0,FULLHD,OLED,,0,2000,jogos_entrada
dell,2016.0,10,11,32,não,0,1,70.0,HD,OLED,,0,500,intermediario
dell,2018.0,10,12,64,não,0,3,232.0,HD,OLED,não,0,250,intermediario
apple,2013.0,12,12,16,não,0,3,530.0,QUADHD,OLED,,500,250,premium
hp,,8,16,8,sim,4,4,143.0,FULLHD,VA,,0,250,jogos_entrada
xiaomi,2016.0,4,6,16,não,0,2,439.0,QUADHD,AMOLED,não,0,2000,premium
apple,2018.0,10,15,8,não,0,3,564.0,FULLHD,AMOLED,não,0,500,premium
huawei,2021.0,12,15,8,não,0,2,494.0,QUADHD,OLED,,0,250,premium
hp,2015.0,8,12,12,sim,2,4,41.0,FULLHD,TN,,0,2000,jogos_entrada
apple,2023.0,12,20,16,não,0,2,489.0,FULLHD,OLED,,0,2000,premium
asus,2023.0,10,20,12,não,0,2,465.0,FULLHD,IPS,sim,0,500,2em1
positivo,2021.0,6,10,4,não,0,4,141.0,HD,IPS,não,0,2000,entrada
samsung,2014.0,12,22,16,não,0,3,417.0,FULLHD,OLED,,2000,250,premium
xiaomi,2021.0,8,12,8,não,0,2,551.0,QUADHD,AMOLED,,0,500,premium
hp,2022.0,10,14,8,não,0,3,528.0,FULLHD,TN,,0,250,ultraportatil
lenovo,2019.0,4,5,2,não,0,3,503.0,FULLHD,OLED,,0,2000,ultraportatil
xiaomi,2016.0,6,9,16,não,0,2,458.0,4K,AMOLED,não,0,250,premium
apple,2023.0,8,13,16,não,0,2,558.0,QUADHD,AMOLED,,0,1000,premium
dell,2012.0,12,21,12,sim,6,3,143.0,QUADHD,TN,,0,500,jogos_intermediarios
razer,2017.0,4,7,32,sim,6,3,144.0,4K,AMOLED,,0,2000,jogos_premium
asus,2016.0,8,16,16,não,0,2,232.0,FULLHD,AMOLED,,0,2000,2em1
samsung,2020.0,10,18,32,sim,6,4,167.0,QUADHD,OLED,,0,1000,jogos_premium
hp,2020.0,4,4,12,sim,2,4,110.0,FULLHD,IPS,,0,2000,jogos_entrada
apple,,8,13,16,não,0,2,429.0,FULLHD,OLED,,0,1000,premium
dell,2017.0,4,6,6,não,0,2,499.0,HD,IPS,não,0,2000,entrada
samsung,2016.0,6,6,8,sim,2,4,193.0,FULLHD,TN,não,0,1000,jogos_entrada
positivo,2018.0,8,14,16,não,0,2,34.0,HD,TN,,1000,0,entrada
apple,2021.0,10,15,8,não,0,2,481.0,QUADHD,AMOLED,,0,500,premium
xiaomi,2021.0,6,9,8,não,0,3,589.0,FULLHD,OLED,,0,2000,premium
xiaomi,,4,7,8,não,0,2,596.0,FULLHD,OLED,,0,2000,premium
samsung,2010.0,4,8,16,não,0,4,567.0,HD,OLED,não,0,1000,intermediario
lenovo,2014.0,4,4,32,sim,6,2,,QUADHD,AMOLED,não,1000,250,jogos_premium
asus,2020.0,6,8,16,não,0,4,328.0,HD,IPS,não,250,0,intermediario
hp,2010.0,2,3,16,não,0,3,524.0,FULLHD,OLED,,500,1000,ultraportatil
acer,2016.0,10,12,4,não,0,1,393.0,HD,TN,,250,0,entrada
huawei,2021.0,4,5,8,não,0,2,528.0,FULLHD,AMOLED,,0,250,premium
huawei,2023.0,12,12,8,não,0,3,,4K,AMOLED,não,0,250,premium
acer,2013.0,2,3,2,não,0,3,487.0,HD,TN,não,1000,0,intermediario
xiaomi,,4,7,8,não,0,2,590.0,FULLHD,OLED,não,1000,250,premium
razer,2014.0,6,10,32,sim,6,1,158.0,FULLHD,OLED,,2000,2000,jogos_premium
samsung,2018.0,10,14,8,sim,2,2,66.0,FULLHD,TN,,0,2000,jogos_entrada
positivo,2020.0,6,10,8,não,0,3,125.0,HD,TN,não,250,0,entrada
