idade,emprego,estado_civil,educacao,casa,emprestimo,contatos,mes,dia,tempo_conta,anonimizado_1,anonimizado_2,anonimizado_3,anonimizado_4,anonimizado_5,anonimizado_6,anonimizado_7,anonimizado_8,anonimizado_9,anonimizado_10,anonimizado_11,aceitou_proposta
34,blue-collar,divorced,professional.course,no,no,telephone,jun,thu,884.0,9028,no,4,999,0,,1.4,94.465,-41.8,4.8660000000000005,5228.1,yes
37,housemaid,divorced,basic.9y,yes,no,telephone,may,mon,226.0,33008,unknown,2,999,0,,-1.8,92.893,-46.2,1.2990000000000002,5099.1,no
37,technician,married,professional.course,no,no,telephone,jun,thu,96.0,11155,no,1,999,0,,1.4,94.465,-41.8,4.961,5228.1,no
37,unemployed,married,university.degree,no,no,telephone,jun,mon,198.0,39963,unknown,1,999,0,,-1.7,94.055,-39.8,0.754,4991.6,yes
34,blue-collar,married,basic.9y,no,no,telephone,jun,tue,963.0,8180,no,2,999,0,,1.4,94.465,-41.8,4.864,5228.1,yes
30,services,single,high.school,yes,no,cellular,aug,thu,148.0,37470,no,2,999,0,,-2.9,92.201,-31.4,0.873,5076.2,yes
39,blue-collar,married,basic.9y,yes,no,cellular,apr,fri,216.0,29140,no,1,999,0,,-1.8,93.075,-47.1,1.405,5099.1,no
40,blue-collar,married,professional.course,no,no,telephone,jun,fri,554.0,9239,unknown,2,999,0,,1.4,94.465,-41.8,4.967,5228.1,yes
38,entrepreneur,married,university.degree,yes,no,telephone,jul,wed,83.0,16697,no,4,999,0,,1.4,93.918,-42.7,4.963,5228.1,no
25,blue-collar,married,high.school,yes,yes,telephone,may,mon,741.0,5784,unknown,6,999,0,,1.1,93.994,-36.4,4.857,5191.0,yes
31,blue-collar,single,professional.course,no,no,telephone,may,thu,99.0,1558,no,3,999,0,,1.1,93.994,-36.4,4.855,5191.0,no
55,services,married,basic.9y,no,no,cellular,aug,thu,211.0,22133,no,3,999,0,,1.4,93.444,-36.1,4.963,5228.1,no
40,services,married,basic.4y,no,no,cellular,may,fri,308.0,32271,unknown,1,999,1,failure,-1.8,92.893,-46.2,1.3130000000000002,5099.1,no
30,blue-collar,married,basic.9y,no,no,cellular,nov,thu,677.0,26590,unknown,1,999,0,,-0.1,93.2,-42.0,4.0760000000000005,5195.8,yes
55,management,married,university.degree,yes,no,cellular,jun,tue,114.0,36867,no,3,999,0,,-2.9,92.963,-40.8,1.252,5076.2,yes
29,technician,single,university.degree,yes,no,cellular,apr,wed,389.0,28579,no,2,999,0,,-1.8,93.075,-47.1,1.415,5099.1,yes
52,admin.,divorced,university.degree,yes,no,cellular,nov,fri,65.0,27148,no,1,999,0,,-0.1,93.2,-42.0,4.021,5195.8,no
32,admin.,single,university.degree,no,no,cellular,aug,wed,823.0,20629,no,1,999,0,,1.4,93.444,-36.1,4.965,5228.1,yes
39,blue-collar,married,basic.4y,no,no,cellular,jul,mon,222.0,15850,unknown,1,999,0,,1.4,93.918,-42.7,4.96,5228.1,no
31,technician,married,university.degree,yes,no,cellular,jun,fri,276.0,36689,no,2,999,0,,-2.9,92.963,-40.8,1.268,5076.2,yes
36,admin.,married,high.school,no,no,cellular,aug,mon,91.0,21173,no,2,999,0,,1.4,93.444,-36.1,4.963,5228.1,no
49,management,married,university.degree,no,no,cellular,apr,wed,1214.0,28572,no,1,999,0,,-1.8,93.075,-47.1,1.415,5099.1,yes
72,retired,married,basic.4y,yes,no,cellular,may,wed,443.0,39601,no,4,999,0,,-1.8,93.876,-40.0,0.672,5008.7,yes
33,entrepreneur,married,basic.9y,no,no,cellular,nov,wed,636.0,25687,unknown,1,999,0,,-0.1,93.2,-42.0,4.12,5195.8,no
40,unknown,married,unknown,yes,yes,cellular,jul,thu,67.0,18350,no,6,999,0,,1.4,93.918,-42.7,4.968,5228.1,no
39,services,single,high.school,yes,yes,telephone,jun,mon,563.0,7881,unknown,1,999,0,,1.4,94.465,-41.8,4.865,5228.1,yes
39,technician,single,professional.course,yes,no,cellular,apr,wed,80.0,28620,no,3,999,0,,-1.8,93.075,-47.1,1.415,5099.1,no
34,services,married,high.school,no,no,telephone,may,tue,1313.0,4397,unknown,2,999,0,,1.1,93.994,-36.4,4.856,5191.0,no
48,admin.,married,high.school,no,no,telephone,oct,mon,312.0,24009,no,1,999,0,,-0.1,93.798,-40.4,5.0,5195.8,yes
31,technician,married,professional.course,no,no,cellular,jul,thu,3643.0,13820,no,1,999,0,,1.4,93.918,-42.7,4.963,5228.1,yes
26,blue-collar,single,unknown,yes,yes,telephone,jun,wed,203.0,10828,no,1,999,0,,1.4,94.465,-41.8,4.962,5228.1,no
24,student,single,high.school,yes,no,cellular,may,tue,153.0,39581,no,2,6,2,success,-1.8,93.876,-40.0,0.6679999999999999,5008.7,yes
33,student,married,professional.course,yes,no,cellular,aug,mon,265.0,40514,no,3,3,4,success,-1.7,94.027,-38.3,0.8959999999999999,4991.6,yes
72,retired,married,basic.6y,yes,no,cellular,jul,wed,143.0,40220,no,1,999,0,,-1.7,94.215,-40.3,0.8809999999999999,4991.6,yes
38,technician,married,university.degree,no,no,cellular,oct,fri,156.0,38349,no,1,999,0,,-3.4,92.431,-26.9,0.7390000000000001,5017.5,yes
79,housemaid,married,basic.4y,no,no,cellular,aug,fri,126.0,37756,no,1,3,2,success,-2.9,92.201,-31.4,0.8490000000000001,5076.2,yes
38,blue-collar,single,basic.9y,yes,no,telephone,may,wed,65.0,33640,no,5,999,0,,-1.8,92.893,-46.2,1.281,5099.1,no
33,admin.,single,university.degree,yes,no,cellular,nov,thu,182.0,26962,no,2,999,0,,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
60,retired,married,high.school,yes,no,telephone,may,fri,597.0,5384,unknown,6,999,0,,1.1,93.994,-36.4,4.857,5191.0,yes
36,services,married,high.school,no,no,cellular,jul,fri,468.0,17235,no,4,999,0,,1.4,93.918,-42.7,4.962,5228.1,no
25,services,single,basic.9y,yes,no,cellular,jul,wed,509.0,18154,no,1,999,0,,1.4,93.918,-42.7,4.963,5228.1,yes
20,student,single,high.school,no,no,cellular,aug,fri,190.0,37563,no,2,999,1,failure,-2.9,92.201,-31.4,0.8690000000000001,5076.2,no
34,admin.,married,university.degree,no,no,telephone,may,mon,79.0,5829,no,5,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
33,blue-collar,single,basic.6y,yes,no,cellular,may,tue,731.0,33124,no,3,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,yes
35,blue-collar,single,unknown,yes,no,telephone,may,wed,125.0,859,no,1,999,0,,1.1,93.994,-36.4,4.856,5191.0,no
43,unknown,married,high.school,no,no,telephone,may,wed,96.0,2765,unknown,1,999,0,,1.1,93.994,-36.4,4.859,5191.0,no
56,technician,single,professional.course,yes,no,cellular,may,mon,80.0,35794,no,3,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,no
48,technician,married,high.school,no,no,cellular,oct,thu,264.0,38562,no,1,999,0,,-3.4,92.431,-26.9,0.722,5017.5,yes
46,admin.,married,basic.6y,no,no,cellular,apr,thu,278.0,30297,no,1,999,0,,-1.8,93.075,-47.1,1.365,5099.1,yes
42,admin.,married,high.school,unknown,unknown,cellular,may,thu,878.0,32029,no,3,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,yes
20,student,single,basic.9y,yes,no,cellular,mar,thu,325.0,27904,no,1,999,0,,-1.8,92.843,-50.0,1.538,5099.1,yes
42,services,divorced,high.school,no,no,telephone,may,wed,117.0,942,unknown,1,999,0,,1.1,93.994,-36.4,4.856,5191.0,no
37,entrepreneur,married,basic.9y,yes,no,telephone,jun,mon,541.0,7988,no,1,999,0,,1.4,94.465,-41.8,4.865,5228.1,no
47,self-employed,married,university.degree,no,yes,cellular,jul,mon,83.0,17488,no,4,999,0,,1.4,93.918,-42.7,4.962,5228.1,no
42,admin.,divorced,high.school,yes,no,telephone,nov,mon,124.0,24586,no,1,999,0,,-0.1,93.2,-42.0,4.191,5195.8,no
76,housemaid,married,basic.4y,no,no,cellular,jun,tue,296.0,39795,no,5,999,0,,-1.7,94.055,-39.8,0.7020000000000001,4991.6,yes
41,management,divorced,university.degree,no,no,cellular,sep,fri,164.0,40769,no,5,3,3,success,-1.1,94.199,-37.5,0.879,4963.6,yes
31,blue-collar,divorced,high.school,no,yes,telephone,jun,mon,27.0,10388,no,3,999,0,,1.4,94.465,-41.8,4.96,5228.1,no
34,technician,married,professional.course,yes,no,cellular,jul,wed,58.0,18080,no,1,999,0,,1.4,93.918,-42.7,4.963,5228.1,no
41,blue-collar,single,basic.9y,no,no,cellular,nov,fri,643.0,27675,unknown,3,999,0,,-0.1,93.2,-42.0,4.021,5195.8,no
56,technician,married,professional.course,yes,no,cellular,aug,thu,124.0,19686,no,3,999,0,,1.4,93.444,-36.1,4.968,5228.1,no
44,blue-collar,married,unknown,no,yes,telephone,may,tue,431.0,2566,no,1,999,0,,1.1,93.994,-36.4,4.856,5191.0,no
60,admin.,married,unknown,yes,no,cellular,dec,wed,357.0,38958,unknown,1,999,0,,-3.0,92.713,-33.0,0.721,5023.5,yes
28,blue-collar,single,basic.9y,no,yes,cellular,jul,wed,278.0,14937,unknown,2,999,0,,1.4,93.918,-42.7,4.957,5228.1,no
26,student,single,high.school,no,no,cellular,may,tue,176.0,30976,unknown,2,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,no
32,admin.,married,university.degree,yes,no,telephone,may,fri,82.0,5432,no,3,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
25,student,single,university.degree,no,yes,telephone,jun,thu,280.0,36891,no,6,999,1,failure,-2.9,92.963,-40.8,1.235,5076.2,yes
34,technician,single,professional.course,yes,no,cellular,jul,mon,224.0,12673,unknown,4,999,0,,1.4,93.918,-42.7,4.96,5228.1,no
26,admin.,married,high.school,yes,no,cellular,nov,fri,338.0,38802,no,1,7,1,success,-3.4,92.649,-30.1,0.7140000000000001,5017.5,yes
37,admin.,single,high.school,yes,no,telephone,may,fri,912.0,3693,no,1,999,0,,1.1,93.994,-36.4,4.859,5191.0,yes
54,housemaid,married,high.school,no,no,cellular,apr,thu,381.0,30203,no,1,999,0,,-1.8,93.075,-47.1,1.365,5099.1,yes
35,blue-collar,married,basic.6y,no,no,telephone,may,thu,245.0,1399,no,1,999,0,,1.1,93.994,-36.4,4.855,5191.0,no
43,services,single,high.school,no,no,cellular,jul,tue,1317.0,14529,no,4,999,0,,1.4,93.918,-42.7,4.961,5228.1,yes
35,blue-collar,married,basic.9y,no,no,cellular,may,thu,234.0,31663,unknown,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no
52,management,married,university.degree,yes,no,cellular,aug,thu,175.0,40480,no,3,1,3,success,-1.7,94.027,-38.3,0.899,4991.6,yes
56,retired,divorced,basic.4y,no,no,telephone,jun,fri,75.0,11463,unknown,4,999,0,,1.4,94.465,-41.8,4.959,5228.1,no
52,management,divorced,university.degree,no,no,cellular,may,wed,451.0,31053,no,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,yes
29,admin.,married,high.school,no,no,cellular,nov,thu,523.0,26353,no,2,999,0,,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
44,blue-collar,married,basic.6y,no,no,cellular,may,fri,611.0,35221,no,2,999,0,,-1.8,92.893,-46.2,1.25,5099.1,yes
57,blue-collar,married,basic.4y,no,no,cellular,aug,wed,97.0,23347,unknown,4,999,0,,1.4,93.444,-36.1,4.964,5228.1,no
50,admin.,married,high.school,no,no,telephone,may,wed,264.0,6829,no,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
32,blue-collar,married,professional.course,no,no,telephone,may,thu,1119.0,1233,no,1,999,0,,1.1,93.994,-36.4,4.855,5191.0,yes
46,blue-collar,married,basic.9y,no,no,telephone,jul,thu,746.0,12285,unknown,4,999,0,,1.4,93.918,-42.7,4.966,5228.1,no
28,admin.,single,university.degree,no,no,cellular,oct,mon,225.0,41030,no,1,3,3,success,-1.1,94.601,-49.5,1.032,4963.6,yes
41,unemployed,married,professional.course,no,no,cellular,may,mon,276.0,35654,no,4,10,1,success,-1.8,92.893,-46.2,1.244,5099.1,no
38,admin.,married,university.degree,yes,no,cellular,aug,fri,172.0,19952,no,7,999,0,,1.4,93.444,-36.1,4.966,5228.1,no
39,admin.,divorced,university.degree,no,no,cellular,aug,wed,99.0,20803,no,3,999,0,,1.4,93.444,-36.1,4.965,5228.1,no
39,admin.,married,high.school,yes,no,cellular,may,mon,301.0,30464,no,3,3,1,success,-1.8,92.893,-46.2,1.354,5099.1,yes
34,technician,single,professional.course,yes,no,cellular,mar,fri,266.0,27765,no,1,999,0,,-1.8,92.843,-50.0,1.726,5099.1,yes
51,blue-collar,married,basic.9y,no,no,telephone,may,mon,470.0,2141,no,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
30,admin.,single,high.school,no,no,telephone,may,wed,860.0,4904,no,2,999,0,,1.1,93.994,-36.4,4.8580000000000005,5191.0,yes
46,unemployed,married,basic.9y,yes,no,cellular,jun,tue,236.0,36451,no,2,999,0,,-2.9,92.963,-40.8,1.262,5076.2,yes
32,admin.,single,university.degree,no,no,telephone,may,tue,389.0,605,no,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
27,blue-collar,married,basic.4y,no,no,cellular,may,mon,877.0,33035,unknown,7,999,0,,-1.8,92.893,-46.2,1.2990000000000002,5099.1,yes
36,technician,single,university.degree,no,no,telephone,may,fri,128.0,5166,unknown,4,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
32,services,single,university.degree,no,no,cellular,sep,thu,128.0,40587,no,3,999,2,failure,-1.1,94.199,-37.5,0.884,4963.6,no
39,blue-collar,single,basic.9y,no,no,telephone,may,tue,650.0,4485,no,3,999,0,,1.1,93.994,-36.4,4.856,5191.0,yes
29,admin.,single,high.school,yes,no,cellular,sep,thu,216.0,40670,no,1,6,2,success,-1.1,94.199,-37.5,0.879,4963.6,yes
31,admin.,married,university.degree,no,no,cellular,may,mon,213.0,35493,no,1,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,no
37,self-employed,married,professional.course,no,yes,telephone,may,fri,254.0,5096,no,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
37,admin.,divorced,university.degree,yes,no,cellular,may,tue,918.0,33318,no,1,999,0,,-1.8,92.893,-46.2,1.291,5099.1,yes
39,admin.,single,university.degree,yes,no,telephone,mar,mon,229.0,39130,no,1,999,1,failure,-1.8,93.369,-34.8,0.655,5008.7,yes
39,management,married,university.degree,yes,no,cellular,sep,thu,291.0,40585,no,3,999,0,,-1.1,94.199,-37.5,0.884,4963.6,yes
50,blue-collar,married,basic.9y,yes,no,telephone,may,thu,,1196,no,2,999,0,,1.1,93.994,-36.4,4.855,5191.0,no
29,admin.,married,university.degree,yes,no,cellular,jul,mon,173.0,40202,no,3,999,0,,-1.7,94.215,-40.3,0.87,4991.6,yes
33,self-employed,divorced,basic.9y,yes,no,telephone,may,tue,355.0,2447,no,1,999,0,,1.1,93.994,-36.4,4.856,5191.0,no
39,housemaid,married,basic.9y,yes,no,telephone,may,mon,935.0,286,no,3,999,0,,1.1,93.994,-36.4,4.857,5191.0,yes
41,admin.,single,university.degree,unknown,unknown,cellular,apr,thu,1277.0,30200,no,1,999,0,,-1.8,93.075,-47.1,1.365,5099.1,yes
57,retired,single,high.school,no,no,telephone,may,mon,166.0,2178,no,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
44,management,married,university.degree,yes,no,cellular,nov,mon,130.0,24139,no,1,999,1,failure,-0.1,93.2,-42.0,4.191,5195.8,no
55,blue-collar,married,basic.9y,no,no,telephone,jun,mon,101.0,7934,no,2,999,0,,1.4,94.465,-41.8,4.865,5228.1,no
31,admin.,married,university.degree,no,no,cellular,jun,thu,81.0,36613,no,2,999,1,failure,-2.9,92.963,-40.8,1.26,5076.2,yes
32,services,married,high.school,no,no,cellular,may,mon,642.0,35826,unknown,3,10,1,success,-1.8,92.893,-46.2,1.244,5099.1,yes
38,technician,married,professional.course,no,no,cellular,aug,mon,923.0,37274,no,1,999,1,failure,-2.9,92.201,-31.4,0.884,5076.2,yes
45,blue-collar,divorced,basic.4y,no,no,telephone,may,tue,78.0,6214,no,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
60,retired,married,university.degree,no,no,cellular,aug,wed,576.0,37407,no,1,999,0,,-2.9,92.201,-31.4,0.879,5076.2,yes
46,blue-collar,married,professional.course,no,no,telephone,jun,thu,1446.0,8821,no,1,999,0,,1.4,94.465,-41.8,4.8660000000000005,5228.1,yes
35,self-employed,married,university.degree,yes,no,cellular,nov,wed,405.0,25776,no,1,999,0,,-0.1,93.2,-42.0,4.12,5195.8,no
54,retired,divorced,university.degree,yes,no,cellular,may,fri,193.0,35275,no,2,999,0,,-1.8,92.893,-46.2,1.25,5099.1,no
57,admin.,married,university.degree,yes,no,cellular,may,fri,554.0,35874,no,2,999,0,,-1.8,92.893,-46.2,1.259,5099.1,yes
30,blue-collar,married,high.school,yes,no,cellular,jul,mon,1153.0,14177,unknown,3,999,0,,1.4,93.918,-42.7,4.962,5228.1,yes
73,retired,married,university.degree,no,no,cellular,nov,fri,160.0,38946,no,1,999,0,,-3.4,92.649,-30.1,0.718,5017.5,yes
33,blue-collar,married,basic.9y,yes,yes,cellular,may,tue,31.0,33418,no,4,999,0,,-1.8,92.893,-46.2,1.291,5099.1,no
63,technician,married,professional.course,yes,no,cellular,oct,tue,298.0,38503,no,1,999,0,,-3.4,92.431,-26.9,0.728,5017.5,yes
85,housemaid,married,basic.4y,no,no,cellular,apr,tue,175.0,39475,unknown,6,6,1,success,-1.8,93.749,-34.6,0.642,5008.7,yes
30,student,married,university.degree,no,no,cellular,aug,mon,98.0,37863,no,2,3,2,success,-2.9,92.201,-31.4,0.821,5076.2,yes
50,services,married,basic.9y,yes,no,cellular,aug,mon,113.0,21195,unknown,2,999,0,,1.4,93.444,-36.1,4.963,5228.1,no
30,blue-collar,single,high.school,no,no,cellular,nov,mon,94.0,38869,no,1,999,2,failure,-3.4,92.649,-30.1,0.7140000000000001,5017.5,no
35,technician,single,professional.course,yes,no,cellular,jul,tue,337.0,40126,no,1,6,1,success,-1.7,94.215,-40.3,0.835,4991.6,yes
37,blue-collar,divorced,basic.9y,yes,no,telephone,may,thu,604.0,34744,no,4,999,0,,-1.8,92.893,-46.2,1.266,5099.1,yes
58,retired,married,high.school,yes,no,cellular,aug,tue,242.0,37805,no,6,3,1,success,-2.9,92.201,-31.4,0.838,5076.2,yes
37,blue-collar,married,high.school,no,no,telephone,jun,thu,280.0,8891,no,1,999,0,,1.4,94.465,-41.8,4.8660000000000005,5228.1,no
52,technician,divorced,university.degree,no,no,cellular,aug,tue,122.0,19013,no,1,999,0,,1.4,93.444,-36.1,4.968,5228.1,no
39,admin.,single,unknown,no,no,cellular,nov,fri,504.0,27469,no,2,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,yes
26,student,single,high.school,no,no,telephone,jun,mon,901.0,9572,no,1,999,0,,1.4,94.465,-41.8,4.961,5228.1,yes
52,admin.,married,university.degree,no,no,cellular,may,thu,613.0,39607,no,1,3,2,success,-1.8,93.876,-40.0,0.677,5008.7,yes
53,housemaid,married,basic.4y,yes,no,cellular,jun,tue,245.0,36852,no,2,999,0,,-2.9,92.963,-40.8,1.252,5076.2,yes
41,self-employed,married,high.school,no,no,telephone,may,fri,165.0,3853,unknown,4,999,0,,1.1,93.994,-36.4,4.859,5191.0,no
53,technician,married,professional.course,yes,no,telephone,jun,thu,939.0,9072,unknown,6,999,0,,1.4,94.465,-41.8,4.8660000000000005,5228.1,no
33,blue-collar,single,basic.4y,no,no,cellular,apr,thu,452.0,30319,no,1,999,0,,-1.8,93.075,-47.1,1.365,5099.1,yes
35,blue-collar,married,basic.4y,no,no,telephone,may,mon,131.0,5761,no,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
30,admin.,single,university.degree,no,no,cellular,aug,fri,235.0,19857,no,1,999,0,,1.4,93.444,-36.1,4.966,5228.1,no
41,blue-collar,married,basic.6y,yes,no,cellular,may,mon,12.0,32647,unknown,8,999,1,failure,-1.8,92.893,-46.2,1.2990000000000002,5099.1,no
27,services,single,high.school,no,no,cellular,jul,tue,232.0,14656,no,4,999,0,,1.4,93.918,-42.7,4.961,5228.1,no
24,services,single,high.school,yes,no,cellular,may,thu,263.0,31982,unknown,2,10,1,success,-1.8,92.893,-46.2,1.327,5099.1,no
72,retired,divorced,basic.6y,yes,no,cellular,nov,wed,244.0,38751,no,2,999,0,,-3.4,92.649,-30.1,0.715,5017.5,yes
36,blue-collar,married,basic.9y,yes,no,telephone,jun,fri,560.0,11552,no,3,999,0,,1.4,94.465,-41.8,4.959,5228.1,yes
43,admin.,single,university.degree,no,yes,cellular,aug,wed,1471.0,19439,no,7,999,0,,1.4,93.444,-36.1,4.967,5228.1,yes
21,blue-collar,married,basic.9y,yes,no,cellular,jul,wed,2078.0,16635,no,6,999,0,,1.4,93.918,-42.7,4.963,5228.1,yes
38,management,married,university.degree,yes,no,cellular,may,fri,1276.0,32265,no,1,999,0,,-1.8,92.893,-46.2,1.3130000000000002,5099.1,yes
43,blue-collar,single,high.school,no,yes,telephone,may,thu,137.0,39748,no,1,999,0,,-1.8,93.876,-40.0,0.6990000000000001,5008.7,no
30,admin.,married,university.degree,no,no,cellular,aug,thu,165.0,20957,no,1,999,0,,1.4,93.444,-36.1,4.964,5228.1,no
25,technician,single,high.school,no,yes,cellular,jul,fri,112.0,17108,no,2,999,0,,1.4,93.918,-42.7,4.962,5228.1,no
24,admin.,single,university.degree,no,no,cellular,sep,tue,106.0,38082,no,1,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,yes
49,admin.,divorced,high.school,no,no,telephone,may,thu,,3448,no,3,999,0,,1.1,93.994,-36.4,4.86,5191.0,no
37,blue-collar,married,basic.6y,no,no,cellular,oct,thu,244.0,38310,no,1,999,0,,-3.4,92.431,-26.9,0.74,5017.5,no
29,admin.,single,university.degree,yes,no,cellular,apr,wed,145.0,30028,no,1,999,0,,-1.8,93.075,-47.1,1.405,5099.1,yes
44,blue-collar,married,basic.9y,no,no,cellular,apr,thu,361.0,28028,unknown,1,999,0,,-1.8,93.075,-47.1,1.483,5099.1,no
53,admin.,married,university.degree,no,yes,cellular,jul,wed,122.0,16630,unknown,3,999,0,,1.4,93.918,-42.7,4.963,5228.1,no
28,blue-collar,single,university.degree,no,no,cellular,apr,tue,107.0,28506,no,3,999,0,,-1.8,93.075,-47.1,1.423,5099.1,yes
37,blue-collar,single,basic.6y,no,no,cellular,jul,tue,338.0,12893,no,3,999,0,,1.4,93.918,-42.7,4.962,5228.1,no
38,technician,married,professional.course,no,no,cellular,may,tue,371.0,31007,no,2,999,0,,-1.8,92.893,-46.2,1.344,5099.1,no
42,services,married,high.school,yes,no,cellular,apr,thu,344.0,30252,no,1,999,0,,-1.8,93.075,-47.1,1.365,5099.1,yes
35,technician,married,university.degree,yes,no,cellular,nov,thu,92.0,26388,no,1,999,0,,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
33,management,married,high.school,no,no,telephone,may,wed,353.0,4698,unknown,1,999,0,,1.1,93.994,-36.4,4.8580000000000005,5191.0,no
35,blue-collar,married,high.school,yes,no,cellular,nov,mon,273.0,24682,unknown,2,999,1,failure,-0.1,93.2,-42.0,4.191,5195.8,no
59,management,married,university.degree,yes,no,cellular,dec,thu,646.0,39129,no,3,6,1,success,-3.0,92.713,-33.0,0.7,5023.5,no
31,admin.,married,university.degree,no,no,cellular,aug,mon,70.0,20126,unknown,1,999,0,,1.4,93.444,-36.1,4.965,5228.1,no
38,blue-collar,married,basic.9y,no,no,telephone,jun,fri,693.0,11717,no,3,999,0,,1.4,94.465,-41.8,4.959,5228.1,yes
37,services,divorced,high.school,yes,yes,cellular,apr,mon,92.0,29576,unknown,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
39,blue-collar,married,basic.9y,yes,no,cellular,sep,fri,293.0,37953,no,1,3,1,success,-3.4,92.379,-29.8,0.8029999999999999,5017.5,yes
40,admin.,divorced,university.degree,yes,no,telephone,may,tue,189.0,690,no,3,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
