idade,emprego,estado_civil,educacao,saldo_bancario,possui_casa,emprestimo,dia,mes,duracao,qtd_contato,deposito
43.0,blue-collar,,secondary,3,yes,no,9,may,929.0,3.0,yes
31.0,admin.,,secondary,307,yes,no,9,may,538.0,1.0,yes
28.0,blue-collar,,secondary,759,yes,no,9,may,710.0,1.0,yes
32.0,blue-collar,,secondary,-1,yes,no,9,may,653.0,1.0,yes
60.0,technician,,primary,65,yes,no,9,may,1028.0,2.0,yes
26.0,blue-collar,,secondary,82,yes,no,9,may,654.0,1.0,yes
40.0,blue-collar,,secondary,10,yes,no,9,may,1692.0,2.0,yes
33.0,blue-collar,divorced,primary,390,yes,no,9,may,665.0,2.0,yes
32.0,management,,tertiary,311,no,no,12,may,757.0,2.0,yes
35.0,blue-collar,,primary,414,no,no,13,may,504.0,4.0,yes
33.0,management,divorced,secondary,5,yes,no,13,may,1346.0,1.0,yes
38.0,management,,tertiary,119,yes,no,13,may,568.0,4.0,yes
23.0,entrepreneur,,primary,4,yes,no,13,may,395.0,2.0,yes
60.0,blue-collar,,primary,1262,yes,yes,13,may,1015.0,1.0,yes
48.0,management,,tertiary,1949,yes,no,13,may,683.0,2.0,yes
45.0,entrepreneur,divorced,tertiary,-395,yes,no,13,may,470.0,1.0,yes
36.0,blue-collar,,secondary,1165,yes,no,13,may,1001.0,4.0,yes
52.0,management,,unknown,2240,yes,no,13,may,845.0,1.0,yes
35.0,blue-collar,divorced,primary,300,yes,no,13,may,945.0,2.0,yes
43.0,technician,,secondary,3285,yes,no,13,may,1721.0,2.0,yes
52.0,housemaid,,secondary,3923,yes,no,14,may,942.0,3.0,yes
53.0,technician,divorced,primary,1443,yes,no,14,may,476.0,1.0,yes
48.0,blue-collar,divorced,primary,24,yes,no,14,may,832.0,1.0,yes
41.0,blue-collar,,primary,1618,yes,no,14,may,1553.0,1.0,yes
39.0,management,divorced,tertiary,517,yes,yes,14,may,1328.0,1.0,yes
59.0,retired,,secondary,1521,yes,yes,14,may,1125.0,2.0,yes
41.0,blue-collar,,secondary,2823,yes,no,14,may,858.0,1.0,yes
48.0,blue-collar,,secondary,1405,yes,no,14,may,629.0,2.0,yes
40.0,admin.,,secondary,1535,yes,no,14,may,704.0,1.0,yes
48.0,blue-collar,,secondary,1596,yes,no,14,may,760.0,1.0,yes
60.0,retired,,primary,1542,yes,no,14,may,930.0,1.0,yes
40.0,technician,,unknown,3652,yes,no,14,may,1028.0,2.0,yes
57.0,technician,,tertiary,-1,no,no,14,may,850.0,2.0,yes
51.0,blue-collar,,secondary,7180,yes,no,14,may,927.0,1.0,yes
41.0,blue-collar,divorced,secondary,5291,yes,no,14,may,1423.0,3.0,yes
41.0,blue-collar,,secondary,1384,yes,no,15,may,1162.0,4.0,yes
52.0,blue-collar,divorced,primary,-191,yes,no,15,may,755.0,1.0,yes
59.0,blue-collar,,primary,320,yes,no,15,may,695.0,1.0,yes
44.0,blue-collar,,unknown,146,yes,no,15,may,483.0,1.0,yes
49.0,unknown,,primary,341,yes,yes,15,may,520.0,2.0,yes
40.0,services,,primary,-9,yes,no,15,may,920.0,2.0,yes
41.0,admin.,,primary,-306,yes,no,15,may,500.0,1.0,yes
44.0,technician,,tertiary,4580,yes,no,15,may,911.0,2.0,yes
60.0,services,,primary,313,yes,no,15,may,920.0,2.0,yes
29.0,management,,tertiary,10576,no,no,15,may,1224.0,2.0,yes
41.0,retired,divorced,primary,-233,yes,no,15,may,1156.0,2.0,yes
41.0,blue-collar,,primary,2453,yes,no,15,may,1052.0,1.0,yes
42.0,technician,,secondary,1364,yes,no,15,may,1867.0,6.0,yes
36.0,services,,unknown,281,yes,no,16,may,515.0,1.0,yes
39.0,technician,,tertiary,94,yes,yes,16,may,813.0,1.0,yes
31.0,self-employed,,tertiary,144,yes,no,16,may,676.0,1.0,yes
26.0,blue-collar,,secondary,246,yes,no,16,may,1143.0,3.0,yes
31.0,blue-collar,,secondary,92,yes,no,16,may,688.0,1.0,yes
29.0,admin.,,secondary,163,yes,yes,16,may,803.0,1.0,yes
37.0,services,divorced,secondary,49,yes,no,16,may,619.0,2.0,yes
33.0,blue-collar,,secondary,-416,yes,no,16,may,767.0,2.0,yes
24.0,technician,,secondary,409,yes,no,16,may,912.0,1.0,yes
50.0,admin.,divorced,secondary,363,yes,no,16,may,1340.0,1.0,yes
27.0,technician,,tertiary,3706,yes,no,16,may,897.0,1.0,yes
54.0,management,,tertiary,4393,yes,no,16,may,1297.0,3.0,yes
30.0,technician,,secondary,863,yes,no,16,may,1193.0,5.0,yes
34.0,blue-collar,,primary,695,yes,yes,16,may,1064.0,4.0,yes
37.0,management,,secondary,792,yes,no,16,may,1187.0,4.0,yes
41.0,admin.,,secondary,1020,yes,no,19,may,882.0,1.0,yes
47.0,blue-collar,,secondary,863,yes,no,19,may,943.0,2.0,yes
31.0,admin.,,secondary,97,yes,no,19,may,607.0,1.0,yes
31.0,blue-collar,,secondary,754,yes,no,19,may,1022.0,4.0,yes
43.0,services,divorced,secondary,1040,yes,no,19,may,552.0,3.0,yes
37.0,management,divorced,tertiary,122,yes,no,19,may,1622.0,2.0,yes
30.0,technician,,tertiary,880,yes,yes,19,may,967.0,6.0,yes
41.0,technician,,secondary,501,yes,no,19,may,579.0,5.0,yes
36.0,blue-collar,,secondary,4438,yes,no,20,may,446.0,1.0,yes
35.0,blue-collar,divorced,secondary,0,yes,no,20,may,1205.0,1.0,yes
29.0,services,,secondary,271,yes,no,20,may,1882.0,2.0,yes
35.0,blue-collar,,primary,102,yes,no,20,may,1334.0,1.0,yes
31.0,blue-collar,,secondary,2,yes,no,20,may,182.0,2.0,yes
35.0,services,,secondary,4170,yes,no,20,may,1777.0,1.0,yes
34.0,technician,,secondary,85,yes,no,20,may,1182.0,4.0,yes
31.0,admin.,,secondary,431,yes,yes,20,may,1045.0,1.0,yes
44.0,technician,divorced,secondary,982,yes,no,20,may,650.0,3.0,yes
36.0,blue-collar,,primary,408,yes,yes,20,may,1063.0,2.0,yes
35.0,blue-collar,,unknown,4822,yes,no,20,may,843.0,2.0,yes
41.0,blue-collar,,primary,1250,yes,no,20,may,1392.0,2.0,yes
31.0,blue-collar,,primary,216,yes,no,21,may,565.0,1.0,yes
34.0,blue-collar,,secondary,1207,yes,no,21,may,905.0,1.0,yes
32.0,technician,,secondary,791,yes,no,21,may,783.0,2.0,yes
36.0,management,,tertiary,849,yes,yes,21,may,958.0,2.0,yes
30.0,blue-collar,,secondary,239,yes,no,21,may,412.0,1.0,yes
37.0,technician,,secondary,1211,yes,no,21,may,795.0,1.0,yes
36.0,blue-collar,,primary,599,yes,no,21,may,649.0,2.0,yes
31.0,management,,tertiary,825,yes,no,21,may,506.0,2.0,yes
27.0,technician,,secondary,2183,yes,yes,21,may,857.0,1.0,yes
34.0,retired,,primary,4499,no,no,21,may,1681.0,1.0,yes
30.0,technician,,tertiary,1289,yes,no,21,may,1697.0,2.0,yes
32.0,technician,,tertiary,4665,yes,no,21,may,860.0,2.0,yes
37.0,technician,,secondary,3326,yes,no,21,may,799.0,1.0,yes
32.0,blue-collar,,secondary,783,yes,no,21,may,923.0,3.0,yes
33.0,blue-collar,,secondary,0,yes,no,21,may,521.0,3.0,yes
35.0,blue-collar,,primary,994,yes,no,23,may,1349.0,,yes
35.0,self-employed,divorced,tertiary,1354,yes,no,23,may,736.0,2.0,yes
30.0,blue-collar,,secondary,239,yes,no,23,may,785.0,1.0,yes
45.0,blue-collar,divorced,primary,-311,yes,no,23,may,1030.0,1.0,yes
45.0,admin.,,secondary,149,yes,no,23,may,893.0,3.0,yes
33.0,blue-collar,,secondary,1464,yes,no,23,may,588.0,3.0,yes
44.0,management,divorced,tertiary,5773,no,no,23,may,597.0,6.0,yes
40.0,blue-collar,,primary,278,yes,no,23,may,1015.0,3.0,yes
31.0,blue-collar,,secondary,2910,yes,no,23,may,1392.0,2.0,yes
30.0,technician,,tertiary,541,yes,no,26,may,414.0,2.0,yes
44.0,technician,divorced,secondary,1262,yes,no,26,may,788.0,11.0,yes
34.0,services,,secondary,-538,yes,no,26,may,682.0,1.0,yes
37.0,blue-collar,,secondary,125,no,no,26,may,679.0,2.0,yes
28.0,self-employed,,tertiary,0,yes,no,26,may,1560.0,2.0,yes
32.0,admin.,,secondary,620,yes,no,26,may,1234.0,3.0,yes
37.0,blue-collar,divorced,secondary,316,yes,no,26,may,642.0,2.0,yes
34.0,management,,tertiary,2287,yes,no,26,may,895.0,4.0,yes
38.0,admin.,divorced,secondary,198,yes,no,26,may,431.0,2.0,yes
28.0,admin.,,secondary,460,yes,no,26,may,741.0,6.0,yes
31.0,management,divorced,tertiary,1145,yes,no,26,may,1272.0,4.0,yes
59.0,services,,secondary,-22,yes,no,26,may,748.0,3.0,yes
24.0,blue-collar,,secondary,685,yes,no,26,may,896.0,3.0,yes
26.0,services,,secondary,901,yes,no,26,may,764.0,2.0,yes
59.0,retired,,secondary,351,yes,no,27,may,1063.0,5.0,yes
30.0,entrepreneur,,primary,0,yes,yes,27,may,1051.0,1.0,yes
37.0,admin.,,secondary,274,yes,no,27,may,731.0,3.0,yes
30.0,admin.,,secondary,-213,yes,yes,27,may,751.0,1.0,yes
25.0,blue-collar,,secondary,97,yes,no,27,may,709.0,1.0,yes
44.0,services,divorced,secondary,51,yes,yes,27,may,3094.0,2.0,yes
29.0,management,,tertiary,314,no,no,28,may,938.0,2.0,yes
26.0,management,,tertiary,6840,yes,no,28,may,1560.0,2.0,yes
26.0,technician,,secondary,668,yes,no,28,may,576.0,3.0,yes
27.0,services,,secondary,54,yes,no,28,may,543.0,2.0,yes
25.0,self-employed,,secondary,1242,yes,no,28,may,615.0,2.0,yes
28.0,management,,secondary,292,yes,no,28,may,507.0,1.0,yes
23.0,services,,secondary,665,yes,no,28,may,1183.0,1.0,yes
34.0,management,,tertiary,1058,yes,no,28,may,864.0,2.0,yes
28.0,student,,secondary,949,yes,no,28,may,1730.0,1.0,yes
51.0,entrepreneur,,unknown,606,yes,no,28,may,560.0,9.0,yes
35.0,blue-collar,,secondary,0,yes,yes,29,may,543.0,1.0,yes
35.0,admin.,,secondary,404,yes,no,29,may,539.0,1.0,yes
56.0,blue-collar,,secondary,249,yes,no,29,may,791.0,2.0,yes
45.0,unemployed,divorced,secondary,3354,yes,no,29,may,746.0,1.0,yes
60.0,blue-collar,divorced,secondary,0,yes,no,29,may,1207.0,1.0,yes
56.0,technician,,secondary,589,yes,no,29,may,535.0,2.0,yes
27.0,management,,tertiary,12956,yes,no,29,may,789.0,3.0,yes
30.0,admin.,,secondary,873,yes,no,29,may,792.0,3.0,yes
45.0,blue-collar,divorced,primary,594,yes,no,29,may,833.0,2.0,yes
29.0,blue-collar,,secondary,-20,yes,no,29,may,814.0,2.0,yes
38.0,management,divorced,tertiary,4692,yes,no,29,may,1363.0,2.0,yes
30.0,blue-collar,,secondary,486,yes,no,29,may,1109.0,3.0,yes
44.0,blue-collar,,primary,1593,yes,no,29,may,828.0,3.0,yes
36.0,management,,tertiary,7606,yes,no,30,may,917.0,1.0,yes
38.0,technician,,secondary,226,yes,no,30,may,762.0,3.0,yes
36.0,blue-collar,,secondary,366,yes,yes,30,may,1133.0,2.0,yes
37.0,management,divorced,secondary,16,yes,no,30,may,638.0,1.0,yes
35.0,management,,tertiary,565,yes,no,30,may,763.0,1.0,yes
38.0,admin.,divorced,secondary,19,yes,no,30,may,604.0,2.0,yes
40.0,services,,primary,1082,yes,no,30,may,854.0,2.0,yes
42.0,unemployed,divorced,secondary,1713,yes,no,30,may,855.0,2.0,yes
46.0,management,divorced,tertiary,14481,yes,no,30,may,1269.0,1.0,yes
35.0,technician,divorced,secondary,5724,yes,no,30,may,691.0,10.0,yes
34.0,technician,divorced,secondary,1451,yes,no,30,may,1097.0,15.0,yes
32.0,services,,secondary,-34,yes,no,30,may,1236.0,2.0,yes
50.0,unemployed,,secondary,3674,yes,no,30,may,886.0,3.0,yes
35.0,blue-collar,,secondary,698,yes,yes,30,may,1343.0,3.0,yes
36.0,technician,,secondary,4136,yes,no,30,may,812.0,3.0,yes
53.0,blue-collar,divorced,primary,2656,yes,no,30,may,1980.0,2.0,yes
46.0,management,,tertiary,2904,yes,no,30,may,984.0,2.0,yes
26.0,management,,tertiary,1004,yes,no,30,may,228.0,2.0,yes
45.0,technician,,secondary,410,yes,no,30,may,891.0,4.0,yes
31.0,unemployed,divorced,primary,0,yes,no,30,may,745.0,12.0,yes
29.0,management,,tertiary,0,yes,no,30,may,539.0,12.0,yes
53.0,entrepreneur,,secondary,62,yes,no,30,may,1044.0,5.0,yes
27.0,blue-collar,,primary,416,yes,no,30,may,1193.0,2.0,yes
39.0,management,,tertiary,2763,yes,no,2,jun,526.0,2.0,yes
36.0,services,,secondary,2984,yes,no,2,jun,394.0,1.0,yes
41.0,blue-collar,,primary,143,yes,yes,2,jun,659.0,2.0,yes
36.0,services,,primary,0,yes,no,2,jun,1036.0,1.0,yes
32.0,technician,,secondary,696,yes,no,2,jun,815.0,1.0,yes
35.0,services,,secondary,152,yes,no,2,jun,563.0,1.0,yes
36.0,management,,tertiary,-78,yes,no,2,jun,1068.0,1.0,yes
35.0,management,,tertiary,867,yes,no,2,jun,230.0,3.0,yes
30.0,blue-collar,,secondary,953,yes,no,2,jun,747.0,2.0,yes
42.0,blue-collar,,secondary,443,yes,no,2,jun,671.0,5.0,yes
42.0,technician,,secondary,-1129,yes,no,2,jun,555.0,5.0,yes
32.0,blue-collar,,primary,415,yes,no,2,jun,777.0,4.0,yes
29.0,blue-collar,,secondary,260,yes,no,2,jun,707.0,14.0,yes
44.0,management,divorced,tertiary,-411,yes,no,2,jun,432.0,4.0,yes
32.0,technician,,secondary,1279,yes,no,3,jun,1173.0,3.0,yes
31.0,unemployed,,secondary,86,yes,yes,3,jun,963.0,2.0,yes
40.0,self-employed,,secondary,-754,yes,yes,3,jun,941.0,3.0,yes
43.0,entrepreneur,,secondary,0,no,no,3,jun,1025.0,7.0,yes
27.0,management,,secondary,178,yes,no,3,jun,732.0,2.0,yes
37.0,services,,secondary,278,yes,no,3,jun,1045.0,3.0,yes
23.0,services,,secondary,425,yes,no,3,jun,768.0,1.0,yes
25.0,management,,primary,168,yes,no,3,jun,801.0,1.0,yes
26.0,blue-collar,,secondary,-36,yes,no,3,jun,482.0,2.0,yes
47.0,blue-collar,divorced,primary,126,yes,no,3,jun,2456.0,2.0,yes
35.0,admin.,,secondary,-87,yes,no,3,jun,1363.0,7.0,yes
32.0,technician,,tertiary,6281,yes,no,3,jun,1336.0,4.0,yes
45.0,management,divorced,secondary,644,yes,no,4,jun,633.0,1.0,yes
30.0,admin.,divorced,secondary,377,yes,no,4,jun,524.0,15.0,yes
29.0,services,,secondary,-271,yes,no,4,jun,578.0,1.0,yes
38.0,blue-collar,,primary,5839,yes,no,4,jun,984.0,2.0,yes
23.0,blue-collar,,secondary,492,yes,no,4,jun,638.0,1.0,yes
27.0,management,,tertiary,99,yes,no,4,jun,767.0,2.0,yes
27.0,management,,tertiary,-713,yes,no,4,jun,525.0,2.0,yes
29.0,services,,secondary,32,yes,no,4,jun,563.0,1.0,yes
30.0,self-employed,,tertiary,543,yes,yes,4,jun,1449.0,6.0,yes
36.0,blue-collar,,primary,403,yes,no,4,jun,920.0,1.0,yes
35.0,admin.,divorced,secondary,437,yes,no,4,jun,908.0,1.0,yes
36.0,blue-collar,,secondary,1772,no,no,5,jun,208.0,1.0,yes
59.0,retired,divorced,primary,-88,yes,no,5,jun,910.0,2.0,yes
47.0,entrepreneur,,secondary,0,no,no,5,jun,1446.0,1.0,yes
58.0,entrepreneur,,tertiary,853,no,no,5,jun,1149.0,2.0,yes
37.0,management,,tertiary,240,no,no,5,jun,1123.0,1.0,yes
46.0,admin.,,secondary,849,yes,no,5,jun,508.0,2.0,yes
43.0,blue-collar,,secondary,318,yes,no,5,jun,736.0,2.0,yes
27.0,management,,tertiary,703,yes,no,5,jun,590.0,3.0,yes
38.0,services,divorced,secondary,61,no,no,5,jun,636.0,1.0,yes
53.0,housemaid,,primary,104,no,yes,5,jun,701.0,1.0,yes
47.0,blue-collar,,secondary,1996,no,no,5,jun,761.0,2.0,yes
56.0,housemaid,divorced,primary,1238,no,no,5,jun,1558.0,1.0,yes
41.0,housemaid,,secondary,879,no,no,5,jun,1053.0,2.0,yes
29.0,self-employed,,secondary,425,yes,no,5,jun,562.0,15.0,yes
50.0,technician,,secondary,416,yes,no,5,jun,494.0,5.0,yes
45.0,blue-collar,divorced,primary,844,no,no,5,jun,1018.0,3.0,yes
35.0,blue-collar,,secondary,860,yes,no,5,jun,884.0,4.0,yes
26.0,technician,,secondary,639,yes,no,6,jun,709.0,5.0,yes
26.0,admin.,,secondary,710,yes,yes,6,jun,1276.0,2.0,yes
37.0,blue-collar,,unknown,1508,no,yes,6,jun,381.0,2.0,yes
30.0,admin.,,secondary,223,yes,no,6,jun,862.0,11.0,yes
38.0,management,,tertiary,619,yes,no,6,jun,460.0,4.0,yes
37.0,services,divorced,secondary,319,yes,no,6,jun,467.0,3.0,yes
53.0,technician,,secondary,480,no,no,6,jun,648.0,2.0,yes
29.0,blue-collar,,primary,213,yes,no,6,jun,2653.0,3.0,yes
35.0,management,,tertiary,68,no,no,6,jun,1085.0,1.0,yes
28.0,blue-collar,,secondary,2788,yes,no,6,jun,369.0,2.0,yes
55.0,blue-collar,,unknown,7561,no,no,6,jun,685.0,3.0,yes
49.0,management,divorced,secondary,-46,yes,no,9,jun,1055.0,10.0,yes
50.0,services,,secondary,1595,no,no,9,jun,882.0,1.0,yes
43.0,management,,tertiary,1046,no,no,9,jun,901.0,1.0,yes
58.0,self-employed,divorced,tertiary,1382,no,no,9,jun,700.0,1.0,yes
38.0,technician,,primary,217,yes,no,9,jun,491.0,6.0,yes
48.0,blue-collar,divorced,primary,183,no,no,9,jun,940.0,1.0,yes
59.0,management,,secondary,1321,no,no,9,jun,3881.0,3.0,yes
58.0,blue-collar,,secondary,25,no,no,9,jun,486.0,3.0,yes
36.0,self-employed,,tertiary,4844,no,no,9,jun,1137.0,3.0,yes
42.0,entrepreneur,,tertiary,5345,no,no,11,jun,878.0,3.0,yes
41.0,admin.,,secondary,812,no,yes,11,jun,583.0,4.0,yes
42.0,admin.,,secondary,105,no,no,11,jun,1159.0,4.0,yes
39.0,management,,tertiary,-190,no,yes,11,jun,893.0,,yes
57.0,housemaid,,primary,625,no,yes,11,jun,867.0,1.0,yes
52.0,retired,,unknown,293,no,no,11,jun,706.0,1.0,yes
59.0,retired,,unknown,1033,no,no,11,jun,1199.0,1.0,yes
56.0,blue-collar,,secondary,1210,no,no,11,jun,935.0,1.0,yes
49.0,management,,tertiary,64,no,no,11,jun,586.0,1.0,yes
35.0,blue-collar,divorced,unknown,164,no,no,11,jun,967.0,2.0,yes
36.0,unemployed,,secondary,1766,no,no,11,jun,595.0,2.0,yes
40.0,admin.,,tertiary,1248,no,no,11,jun,1290.0,2.0,yes
55.0,blue-collar,,secondary,0,no,no,12,jun,614.0,2.0,yes
58.0,admin.,,secondary,826,no,no,12,jun,885.0,1.0,yes
39.0,self-employed,,tertiary,2630,no,no,12,jun,651.0,5.0,yes
47.0,housemaid,,tertiary,3727,no,no,12,jun,993.0,6.0,yes
40.0,management,,secondary,406,yes,no,12,jun,577.0,2.0,yes
35.0,blue-collar,,tertiary,2999,no,no,12,jun,1141.0,6.0,yes
48.0,blue-collar,,secondary,1000,yes,no,12,jun,1268.0,2.0,yes
48.0,management,divorced,tertiary,503,no,yes,12,jun,1243.0,7.0,yes
24.0,blue-collar,,secondary,-203,yes,no,12,jun,465.0,3.0,yes
49.0,blue-collar,,primary,361,yes,no,16,jun,513.0,2.0,yes
36.0,blue-collar,,secondary,274,yes,no,16,jun,686.0,11.0,yes
52.0,retired,divorced,tertiary,3687,yes,yes,16,jun,741.0,4.0,yes
42.0,entrepreneur,,unknown,323,no,no,16,jun,617.0,1.0,yes
36.0,services,,secondary,981,no,no,16,jun,1093.0,1.0,yes
36.0,blue-collar,divorced,secondary,638,yes,no,16,jun,1395.0,2.0,yes
48.0,unemployed,,tertiary,3229,no,no,16,jun,1089.0,1.0,yes
51.0,management,,secondary,1610,yes,no,16,jun,1248.0,3.0,yes
51.0,blue-collar,,secondary,33,no,yes,16,jun,721.0,3.0,yes
46.0,technician,,secondary,536,yes,no,16,jun,750.0,2.0,yes
37.0,management,,tertiary,0,no,no,16,jun,637.0,6.0,yes
36.0,entrepreneur,,tertiary,3057,no,no,16,jun,2769.0,4.0,yes
47.0,management,,secondary,2892,no,no,17,jun,556.0,1.0,yes
40.0,technician,divorced,tertiary,0,no,no,17,jun,522.0,1.0,yes
38.0,student,,tertiary,3316,no,no,17,jun,1345.0,3.0,yes
40.0,management,,secondary,106,no,no,17,jun,676.0,2.0,yes
39.0,blue-collar,,primary,2303,yes,no,17,jun,775.0,3.0,yes
60.0,management,,tertiary,3301,no,no,17,jun,2621.0,3.0,yes
39.0,self-employed,,tertiary,426,no,no,18,jun,1029.0,1.0,yes
51.0,services,divorced,secondary,9,no,no,18,jun,371.0,2.0,yes
27.0,admin.,,secondary,-97,yes,no,18,jun,1528.0,2.0,yes
41.0,management,,tertiary,11008,no,no,18,jun,1540.0,1.0,yes
42.0,blue-collar,,primary,4930,no,no,18,jun,973.0,1.0,yes
41.0,entrepreneur,,secondary,707,no,no,18,jun,707.0,1.0,yes
33.0,technician,,secondary,4,yes,yes,18,jun,625.0,2.0,yes
46.0,admin.,,secondary,126,no,no,18,jun,1255.0,1.0,yes
31.0,blue-collar,,secondary,671,yes,no,18,jun,704.0,4.0,yes
41.0,blue-collar,,primary,219,no,yes,18,jun,1574.0,3.0,yes
41.0,blue-collar,divorced,secondary,3622,no,no,19,jun,1135.0,4.0,yes
55.0,retired,divorced,secondary,1580,no,yes,19,jun,1007.0,1.0,yes
53.0,technician,,secondary,1319,no,no,19,jun,1318.0,3.0,yes
55.0,housemaid,,primary,2152,no,no,19,jun,922.0,2.0,yes
39.0,services,,secondary,2843,yes,no,19,jun,585.0,1.0,yes
40.0,entrepreneur,,tertiary,0,no,no,19,jun,952.0,4.0,yes
59.0,retired,,primary,1115,no,no,19,jun,834.0,1.0,yes
42.0,blue-collar,,secondary,625,no,no,19,jun,651.0,3.0,yes
41.0,blue-collar,,primary,246,no,no,19,jun,683.0,3.0,yes
27.0,blue-collar,,secondary,61,yes,no,19,jun,1012.0,1.0,yes
25.0,blue-collar,,secondary,-191,yes,no,19,jun,958.0,7.0,yes
43.0,unemployed,,primary,519,no,no,20,jun,973.0,2.0,yes
44.0,services,,secondary,522,no,yes,20,jun,911.0,1.0,yes
26.0,blue-collar,,secondary,-46,yes,no,20,jun,382.0,7.0,yes
52.0,retired,,tertiary,2269,no,no,20,jun,1210.0,1.0,yes
54.0,services,,unknown,386,no,yes,20,jun,838.0,1.0,yes
56.0,management,,tertiary,0,no,yes,20,jun,422.0,1.0,yes
57.0,management,,tertiary,9103,no,yes,20,jun,1098.0,2.0,yes
29.0,blue-collar,,secondary,908,yes,no,20,jun,1663.0,1.0,yes
47.0,technician,,tertiary,1694,no,yes,20,jun,560.0,3.0,yes
57.0,management,,tertiary,-92,yes,yes,20,jun,1617.0,1.0,yes
40.0,blue-collar,,secondary,188,yes,yes,20,jun,570.0,2.0,yes
46.0,services,divorced,secondary,0,no,no,20,jun,1023.0,3.0,yes
43.0,blue-collar,,secondary,740,yes,no,20,jun,585.0,2.0,yes
45.0,management,,tertiary,655,no,no,20,jun,693.0,3.0,yes
24.0,management,,secondary,867,yes,no,20,jun,546.0,10.0,yes
40.0,blue-collar,,secondary,1009,yes,yes,20,jun,1036.0,5.0,yes
38.0,services,divorced,unknown,6360,no,no,20,jun,1409.0,2.0,yes
36.0,unemployed,,tertiary,4145,no,no,20,jun,988.0,4.0,yes
27.0,blue-collar,,secondary,-27,no,no,23,jun,498.0,2.0,yes
26.0,admin.,,primary,-122,yes,no,23,jun,670.0,3.0,yes
43.0,management,,tertiary,149,yes,no,23,jun,662.0,2.0,yes
25.0,blue-collar,,primary,52,yes,no,24,jun,528.0,2.0,yes
27.0,blue-collar,,tertiary,335,yes,no,26,jun,519.0,3.0,yes
30.0,technician,,tertiary,526,yes,yes,26,jun,677.0,3.0,yes
28.0,admin.,,secondary,-7,no,yes,26,jun,3183.0,2.0,yes
27.0,blue-collar,,primary,-413,no,yes,27,jun,422.0,6.0,yes
32.0,admin.,divorced,secondary,-241,no,yes,27,jun,856.0,2.0,yes
41.0,blue-collar,,secondary,75,yes,no,1,jul,479.0,9.0,yes
37.0,technician,,tertiary,0,no,no,1,jul,1135.0,2.0,yes
27.0,technician,,secondary,158,no,no,1,jul,650.0,2.0,yes
29.0,services,,secondary,84,no,yes,3,jul,587.0,3.0,yes
33.0,services,,secondary,114,no,yes,3,jul,676.0,1.0,yes
36.0,technician,,primary,0,no,no,4,jul,584.0,1.0,yes
28.0,blue-collar,,secondary,-127,yes,no,4,jul,1044.0,3.0,yes
55.0,blue-collar,,secondary,49,yes,no,7,jul,494.0,4.0,yes
51.0,technician,,secondary,216,no,no,7,jul,615.0,2.0,yes
39.0,technician,,secondary,506,yes,no,7,jul,718.0,2.0,yes
42.0,blue-collar,divorced,primary,213,yes,no,7,jul,434.0,3.0,yes
33.0,services,,secondary,170,no,no,7,jul,782.0,1.0,yes
36.0,entrepreneur,divorced,tertiary,776,no,yes,7,jul,722.0,3.0,yes
45.0,technician,,secondary,879,no,no,7,jul,621.0,2.0,yes
37.0,self-employed,,secondary,1633,no,no,7,jul,629.0,2.0,yes
46.0,unemployed,,secondary,926,no,no,7,jul,385.0,5.0,yes
