ultima_compra,visitas,online,loja,catalogo,descontos,vinho,doces,fruta,carne,peixe,renda,total_gasto,adolescentes,criancas,estado_civil,educacao,tempo_cliente,reclamacao,idade,aceitou_campanha
24,9,3,3,1,3,3,22,18,14,15,7500.0,72,0,0,casado,segundo_grau,2756,0,24,1
92,10,2,2,0,1,13,5,6,15,3,41728.0,42,0,1,uniao_estavel,graduado,2560,0,52,0
39,8,5,12,2,9,826,38,50,317,50,72550.0,1281,1,1,casado,doutorado,2757,0,66,0
29,2,4,10,2,1,245,67,19,125,37,65486.0,493,1,0,viuvo,graduado,2207,0,63,0
2,3,6,13,9,1,650,167,37,780,27,79143.0,1661,0,0,casado,mestrado,2846,0,56,0
54,7,2,3,0,2,12,1,6,20,30,35790.0,69,0,1,solteiro,graduado,2702,0,43,0
54,1,4,7,9,1,510,40,120,550,156,82582.0,1376,0,0,divorciado,graduado,2181,0,43,1
57,3,4,10,2,7,328,24,9,124,12,66373.0,497,1,1,casado,graduado,2541,0,42,0
55,1,3,13,10,1,984,120,51,432,180,82384.0,1767,0,0,uniao_estavel,mestrado,2746,0,65,1
30,3,5,10,5,1,295,120,35,482,121,70287.0,1053,0,0,divorciado,graduado,2612,0,54,1
31,3,1,4,0,1,13,1,0,8,2,27938.0,24,0,1,solteiro,graduado,2221,0,32,0
63,7,8,6,2,3,447,0,0,28,0,55954.0,475,1,0,casado,doutorado,2277,0,52,0
12,1,3,11,6,1,712,13,26,538,69,75777.0,1358,0,0,solteiro,mestrado,2519,0,38,1
18,3,4,12,2,4,452,18,18,102,16,66653.0,606,1,1,uniao_estavel,graduado,2819,0,45,0
26,7,8,10,2,4,523,14,7,134,37,61823.0,715,1,0,solteiro,graduado,2655,0,68,0
8,5,7,8,3,1,546,6,0,48,0,67680.0,600,1,0,viuvo,doutorado,2542,0,69,0
29,4,7,4,4,1,398,122,40,367,119,70666.0,1046,0,0,uniao_estavel,graduado,2364,0,72,0
75,7,1,2,1,1,1,6,3,6,3,25721.0,19,0,1,casado,graduado,2563,0,49,1
0,7,1,2,0,1,10,0,0,1,0,32474.0,11,1,1,uniao_estavel,graduado,2208,0,53,0
19,5,11,10,10,1,688,24,14,309,201,88194.0,1236,1,0,solteiro,segundo_grau,2261,0,41,1
4,4,5,10,2,1,247,82,49,159,7,69096.0,544,1,0,uniao_estavel,graduado,2434,0,62,0
90,5,2,5,5,7,856,29,59,487,58,74854.0,1489,2,1,uniao_estavel,graduado,2606,0,50,0
1,3,4,6,8,3,496,60,36,460,189,66991.0,1241,0,0,casado,mestrado,2815,0,66,0
29,7,10,13,3,4,258,37,107,291,84,65031.0,777,1,0,casado,graduado,2628,0,61,0
88,7,9,8,2,5,565,6,6,65,0,60631.0,642,1,1,casado,doutorado,2609,0,45,0
58,2,2,4,1,1,14,15,10,13,4,28332.0,56,0,0,casado,graduado,2219,0,68,0
68,6,1,2,0,1,2,1,1,6,2,40246.0,12,0,1,divorciado,graduado,2716,0,43,0
34,5,7,5,6,1,721,18,111,925,97,75251.0,1872,0,0,casado,mestrado,2830,0,48,1
40,4,5,9,8,0,1032,105,105,779,137,75825.0,2158,0,0,solteiro,graduado,2784,0,44,1
12,3,0,3,0,1,1,3,0,5,0,26326.0,9,0,0,uniao_estavel,segundo_grau,2457,1,44,0
9,8,10,8,1,2,577,0,0,64,0,56046.0,641,0,0,uniao_estavel,graduado,2702,0,55,1
87,8,3,4,1,4,64,5,4,68,7,29760.0,148,0,1,solteiro,graduado,2828,0,35,0
5,7,1,2,0,1,4,0,1,5,2,26304.0,12,0,1,casado,graduado,2530,0,51,0
87,7,3,3,0,3,25,0,5,19,7,23559.0,56,0,1,casado,segundo_grau,2520,0,47,0
56,3,2,3,5,1,112,22,17,44,34,38620.0,229,0,0,uniao_estavel,mestrado,2573,0,57,0
18,1,3,13,10,1,163,65,23,424,27,81361.0,702,0,0,divorciado,graduado,2283,0,33,0
95,7,1,4,0,2,17,4,8,14,10,29440.0,53,1,1,casado,graduado,2481,0,60,0
48,7,3,4,1,5,130,0,0,16,0,36138.0,146,1,1,casado,mestrado,2507,0,50,0
3,7,6,6,1,4,292,3,6,37,0,50388.0,338,1,0,solteiro,graduado,2191,0,63,1
70,2,5,7,6,1,350,133,60,568,110,79593.0,1221,0,0,casado,graduado,2207,0,47,0
79,2,2,5,2,1,135,0,9,39,4,54178.0,187,1,0,uniao_estavel,graduado,2318,0,53,0
69,7,1,3,0,1,15,1,2,10,0,42394.0,28,0,1,solteiro,mestrado,2257,0,48,0
84,5,3,3,1,3,27,0,2,14,0,23626.0,43,0,1,casado,doutorado,2195,0,50,0
30,6,2,3,0,1,5,5,3,11,12,30096.0,36,0,1,casado,graduado,2197,0,37,0
72,6,7,6,4,5,505,0,0,26,0,47916.0,531,1,0,viuvo,graduado,2743,0,60,0
37,7,2,3,0,2,51,1,2,7,0,51813.0,61,1,1,divorciado,graduado,2603,0,48,0
44,2,5,12,7,1,207,0,26,447,75,78497.0,755,0,0,casado,segundo_grau,2369,0,69,0
32,5,5,7,2,2,135,61,46,92,65,50150.0,399,0,0,casado,doutorado,2533,0,37,0
0,8,2,3,0,2,53,1,1,5,2,47823.0,62,1,0,solteiro,segundo_grau,2500,0,60,0
43,6,2,3,0,2,41,0,1,6,2,34554.0,50,1,0,solteiro,doutorado,2250,0,61,0
59,5,9,11,5,2,386,132,172,183,185,85693.0,1058,1,0,uniao_estavel,graduado,2594,0,41,0
68,4,6,6,3,1,562,40,81,276,80,65846.0,1039,0,0,casado,doutorado,2567,0,75,0
35,1,3,5,11,1,217,26,76,690,50,87195.0,1059,0,0,casado,graduado,2211,0,61,1
94,5,1,3,0,1,1,0,3,6,10,24594.0,20,0,1,uniao_estavel,primeiro_grau,2360,0,41,0
15,7,4,4,1,4,144,1,1,32,2,49096.0,180,1,1,casado,graduado,2437,0,56,0
56,6,6,12,4,4,295,98,106,271,75,52413.0,845,2,0,casado,graduado,2671,0,51,0
17,7,3,3,1,2,76,4,3,31,4,38557.0,118,0,1,solteiro,graduado,2716,0,42,0
18,2,5,4,4,1,454,22,194,106,31,89058.0,807,0,0,casado,mestrado,2728,0,60,0
46,3,6,11,6,1,425,35,115,292,23,77298.0,890,1,0,uniao_estavel,graduado,2398,0,41,0
40,9,7,5,4,1,1332,51,17,311,23,68126.0,1734,0,0,solteiro,doutorado,2755,0,29,1
27,6,8,8,1,3,527,0,0,21,0,57288.0,548,1,0,uniao_estavel,mestrado,2163,0,57,0
95,3,6,11,7,1,490,20,44,125,29,86037.0,708,0,0,solteiro,graduado,2702,0,29,1
19,7,6,6,4,5,378,0,0,101,0,43974.0,479,0,1,casado,doutorado,2723,0,40,0
27,6,2,3,1,2,64,1,1,21,0,50785.0,87,1,1,solteiro,graduado,2451,0,58,0
25,1,4,5,6,0,547,82,99,812,151,90765.0,1691,0,0,casado,graduado,2315,0,50,0
74,9,9,5,1,5,47,103,90,94,123,36550.0,457,0,1,casado,segundo_grau,2654,0,42,0
85,5,1,3,1,2,12,9,5,25,0,30753.0,51,1,1,uniao_estavel,segundo_grau,2512,0,53,0
37,6,2,3,0,2,1,5,6,7,11,21918.0,30,0,1,uniao_estavel,graduado,2386,0,51,0
65,4,6,10,2,4,320,72,48,133,39,56129.0,612,1,0,uniao_estavel,mestrado,2533,0,67,0
13,5,2,3,1,3,34,4,3,29,0,32557.0,70,0,1,solteiro,mestrado,2284,0,53,1
63,7,1,3,0,2,9,4,0,7,3,19510.0,23,0,2,casado,mestrado,2457,0,35,0
83,7,1,3,0,1,17,3,0,14,7,30992.0,41,0,1,divorciado,graduado,2592,0,44,0
69,2,6,13,8,0,722,72,27,102,44,101970.0,967,0,0,solteiro,graduado,2633,0,37,1
87,1,3,7,4,2,162,28,33,124,40,71488.0,387,0,0,uniao_estavel,segundo_grau,2655,0,55,0
37,1,3,6,6,1,450,0,133,951,173,79607.0,1707,0,0,solteiro,graduado,2593,0,36,1
51,6,2,4,0,2,70,0,0,16,0,54348.0,86,1,1,casado,mestrado,2180,0,67,0
72,4,6,10,3,4,492,12,19,110,16,77376.0,649,1,1,uniao_estavel,doutorado,2209,0,64,0
10,5,5,5,4,5,120,89,58,73,65,62998.0,405,1,0,casado,graduado,2431,0,68,0
42,8,11,6,1,5,534,5,5,47,0,61331.0,591,1,1,solteiro,mestrado,2635,0,62,0
10,4,7,9,2,1,236,41,106,189,23,73448.0,595,0,0,casado,graduado,2298,0,51,0
51,8,5,5,1,5,220,0,0,33,3,41551.0,256,1,1,casado,doutorado,2478,0,56,0
21,3,4,13,5,1,796,44,14,590,38,62981.0,1482,0,0,uniao_estavel,doutorado,2628,0,53,0
31,8,1,3,0,2,0,6,1,3,10,9548.0,20,0,1,divorciado,primeiro_grau,2849,0,44,0
61,8,2,2,2,3,53,0,1,34,2,33762.0,90,1,2,casado,doutorado,2516,0,61,0
37,5,1,2,1,2,15,2,0,8,4,35860.0,29,1,1,solteiro,doutorado,2200,0,47,1
74,7,2,3,0,2,17,1,1,12,3,36921.0,34,1,1,divorciado,doutorado,2495,0,55,0
46,2,5,12,4,1,962,61,61,921,52,92859.0,2057,0,0,solteiro,mestrado,2777,0,28,0
4,7,3,7,5,2,738,20,0,232,13,65104.0,1003,1,0,uniao_estavel,mestrado,2386,0,44,1
73,2,5,10,7,1,399,40,28,756,36,86111.0,1259,0,0,casado,graduado,2595,0,58,0
47,6,8,9,5,3,614,33,16,132,43,68352.0,838,1,0,solteiro,doutorado,2464,0,46,0
13,7,4,3,2,3,32,16,34,41,73,41883.0,196,0,1,uniao_estavel,graduado,2626,0,32,0
36,8,3,6,3,3,598,41,16,141,32,59809.0,828,2,0,casado,graduado,2778,0,44,0
47,6,2,3,0,1,2,11,1,18,20,23957.0,52,0,1,casado,graduado,2768,0,45,1
49,8,1,2,0,1,6,1,1,10,0,38547.0,18,0,1,uniao_estavel,graduado,2464,1,39,0
94,8,4,4,1,7,73,1,3,90,12,35688.0,179,1,2,casado,segundo_grau,2835,0,47,0
65,3,2,4,1,1,42,20,16,29,12,49605.0,119,0,0,casado,mestrado,2167,0,54,0
59,3,4,7,4,1,295,13,21,78,39,59354.0,446,2,0,casado,mestrado,2225,0,67,0
96,6,8,6,1,4,346,13,17,48,23,65747.0,447,1,0,casado,graduado,2273,0,51,0
28,7,7,5,1,4,233,20,20,57,8,46344.0,338,1,0,uniao_estavel,segundo_grau,2721,0,48,0
12,6,3,4,0,4,5,14,7,24,19,34176.0,69,0,1,solteiro,graduado,2207,0,32,0
57,5,8,11,5,2,888,0,0,57,0,61010.0,945,1,0,uniao_estavel,doutorado,2787,0,68,0
10,4,10,6,4,1,997,13,26,269,34,69372.0,1339,0,0,uniao_estavel,graduado,2654,0,71,1
4,7,6,5,1,3,212,12,6,69,4,49967.0,303,1,0,solteiro,graduado,2515,0,62,0
49,4,0,3,0,1,8,0,1,7,2,60199.0,18,2,1,solteiro,graduado,2449,0,42,0
3,2,1,6,1,1,42,28,11,57,10,55375.0,148,1,0,uniao_estavel,graduado,2414,0,43,0
64,1,3,10,4,1,536,91,11,387,149,80317.0,1174,0,0,solteiro,graduado,2472,0,65,0
0,7,1,2,0,1,5,0,0,3,0,30523.0,8,1,2,solteiro,mestrado,2522,0,62,0
20,6,10,9,6,2,1349,16,16,249,43,70356.0,1673,0,0,casado,doutorado,2760,0,75,0
91,8,3,4,0,4,53,4,3,49,7,23228.0,116,0,1,casado,graduado,2334,0,36,0
9,2,5,10,4,1,1001,12,12,240,16,74165.0,1281,0,0,divorciado,doutorado,2583,0,45,0
83,6,2,4,0,3,18,3,1,32,6,43482.0,60,1,2,uniao_estavel,graduado,2387,0,54,0
27,3,6,4,7,1,125,21,16,98,134,62551.0,394,0,0,divorciado,graduado,2382,0,67,0
63,4,3,6,2,1,212,0,5,33,7,52332.0,257,0,0,divorciado,graduado,2464,0,61,0
46,1,3,7,4,1,277,76,162,305,173,66951.0,993,0,0,solteiro,graduado,2398,0,32,0
84,5,2,3,1,3,15,17,10,19,8,26091.0,69,1,1,uniao_estavel,graduado,2283,0,63,0
58,7,1,3,0,2,7,1,3,10,8,33456.0,29,1,1,uniao_estavel,graduado,2228,0,55,0
78,8,2,3,0,2,12,8,4,6,11,28718.0,41,0,1,casado,graduado,2510,0,38,0
4,6,3,3,1,1,85,3,7,24,2,50447.0,121,0,2,casado,graduado,2228,0,50,0
17,5,2,3,1,2,81,0,0,6,0,53537.0,87,1,1,uniao_estavel,doutorado,2309,0,61,0
77,4,2,2,2,1,59,0,0,12,0,52074.0,71,1,0,solteiro,graduado,2245,0,53,0
56,5,11,8,8,1,1149,71,71,449,69,80427.0,1809,1,0,casado,doutorado,2814,0,45,0
79,4,9,5,10,1,847,89,66,119,86,83837.0,1207,0,0,casado,doutorado,2719,0,72,1
90,7,2,3,0,2,29,0,0,14,0,38853.0,43,1,1,casado,doutorado,2196,0,50,0
96,2,0,3,0,1,2,0,0,5,2,38285.0,9,1,2,uniao_estavel,graduado,2164,0,61,0
44,2,5,12,7,1,207,0,26,447,75,78497.0,755,0,0,casado,segundo_grau,2369,0,69,0
81,5,4,4,1,1,152,5,3,22,2,51650.0,184,1,0,casado,doutorado,2208,0,44,0
77,6,2,3,1,3,12,12,11,10,3,16248.0,48,0,1,casado,segundo_grau,2209,0,32,0
21,2,6,13,4,1,620,17,26,195,34,66835.0,892,0,0,casado,mestrado,2433,0,74,0
16,6,1,3,1,1,47,0,1,6,0,30477.0,54,0,1,casado,mestrado,2317,0,36,0
80,6,2,3,0,1,1,14,9,7,2,28249.0,33,0,0,casado,primeiro_grau,2173,0,59,0
45,9,1,2,1,1,10,4,1,18,10,25271.0,43,0,1,casado,graduado,2730,0,37,0
63,5,1,4,0,2,35,0,0,2,0,32303.0,37,1,0,solteiro,doutorado,2272,0,50,0
34,5,7,8,1,2,356,9,0,107,19,61286.0,491,1,0,casado,graduado,2490,0,54,0
14,2,4,9,10,1,783,76,30,537,140,74068.0,1566,0,0,casado,graduado,2626,0,44,0
13,7,2,3,0,2,42,0,1,18,3,45759.0,64,1,1,casado,doutorado,2650,0,56,0
52,6,1,2,1,1,1,0,4,10,29,24882.0,44,0,1,uniao_estavel,primeiro_grau,2817,0,42,0
98,3,8,12,7,1,466,113,22,432,147,66973.0,1180,0,0,uniao_estavel,doutorado,2567,0,31,0
93,8,3,3,0,2,23,19,3,21,3,38872.0,69,0,1,casado,graduado,2554,0,32,0
38,6,5,6,1,4,235,9,6,45,8,51148.0,303,1,1,casado,graduado,2655,0,47,0
24,8,1,2,1,2,10,1,0,10,3,31353.0,24,1,1,casado,graduado,2341,0,43,0
80,3,7,12,3,1,656,16,16,106,32,69661.0,826,0,0,casado,mestrado,2206,0,40,0
82,2,4,6,6,1,519,173,17,813,27,80067.0,1549,0,0,casado,graduado,2442,0,66,0
20,2,5,5,6,1,344,33,189,482,50,86718.0,1098,0,0,casado,graduado,2687,0,66,0
81,8,5,3,1,6,96,1,1,79,7,46854.0,184,1,1,solteiro,doutorado,2249,0,47,1
50,5,8,7,1,3,448,4,4,34,6,69142.0,496,1,0,divorciado,graduado,2159,0,68,0
60,1,4,9,4,1,265,23,138,553,224,75922.0,1203,0,0,solteiro,graduado,2361,0,52,0
63,6,11,9,6,3,587,87,43,337,42,63693.0,1096,1,0,divorciado,graduado,2417,0,42,0
54,4,7,10,9,0,763,176,29,138,76,102160.0,1182,0,0,uniao_estavel,doutorado,2763,0,43,1
72,7,1,3,0,2,22,0,0,13,0,40637.0,35,1,1,solteiro,doutorado,2506,0,55,0
5,6,0,2,1,1,6,2,4,1,7,18890.0,20,0,0,solteiro,mestrado,2755,0,36,1
88,9,1,3,0,1,7,6,6,13,7,29604.0,39,0,1,uniao_estavel,graduado,2362,0,32,0
50,6,4,5,2,6,81,13,18,113,47,48721.0,272,1,1,divorciado,mestrado,2571,0,57,0
99,6,2,3,0,1,54,0,0,7,0,44794.0,61,1,0,casado,graduado,2180,0,54,0
17,8,11,9,4,5,1170,32,48,320,42,64497.0,1612,1,0,divorciado,graduado,2816,0,66,1
11,4,3,6,1,5,72,4,24,68,65,46097.0,233,1,0,uniao_estavel,graduado,2614,0,64,0
18,1,4,9,6,1,613,102,22,319,33,77972.0,1089,0,0,uniao_estavel,graduado,2262,0,66,0
70,8,5,5,1,8,224,0,0,30,0,44377.0,254,1,1,casado,doutorado,2791,0,52,0
21,7,7,8,1,10,410,9,0,59,19,46014.0,497,1,1,uniao_estavel,mestrado,2683,0,46,0
66,1,3,9,4,1,239,87,10,554,254,70951.0,1144,0,0,casado,graduado,2580,0,35,0
79,8,8,5,1,6,171,19,7,171,25,41443.0,393,0,1,casado,graduado,2248,0,43,0
2,8,1,2,0,1,12,0,0,4,0,52195.0,16,1,2,solteiro,segundo_grau,2207,0,42,0
81,3,8,6,10,1,1076,48,16,417,42,83790.0,1599,0,0,casado,mestrado,2385,0,72,0
24,7,4,5,1,2,182,0,4,33,0,44551.0,219,1,0,viuvo,mestrado,2461,0,66,0
48,6,11,11,4,2,824,32,32,162,42,69508.0,1092,0,1,uniao_estavel,graduado,2751,0,40,0
93,3,1,4,1,1,30,1,11,25,29,45204.0,96,0,1,uniao_estavel,segundo_grau,2238,0,32,0
56,1,3,7,5,1,377,30,10,540,80,72460.0,1037,0,0,casado,graduado,2386,0,51,0
3,3,6,11,3,2,520,0,7,154,19,77622.0,700,2,0,uniao_estavel,doutorado,2235,0,50,0
44,8,4,4,1,4,155,1,1,25,0,30732.0,182,0,1,casado,doutorado,2699,0,40,0
38,6,9,12,6,5,897,11,23,207,15,63887.0,1153,1,0,divorciado,graduado,2818,0,58,0
46,8,3,4,1,4,131,1,0,16,2,42011.0,150,0,1,uniao_estavel,graduado,2619,0,42,0
84,8,8,4,2,2,297,11,7,79,0,51369.0,394,1,0,uniao_estavel,graduado,2771,0,44,0
27,8,2,11,2,3,787,0,20,204,0,51537.0,1011,1,0,divorciado,graduado,2726,0,68,0
72,2,3,8,5,1,792,51,86,740,67,79930.0,1736,0,0,casado,doutorado,2849,0,48,0
66,8,1,2,0,1,4,0,1,9,3,34320.0,17,0,1,uniao_estavel,doutorado,2292,0,34,0
30,7,5,8,1,9,231,15,7,137,4,37070.0,394,1,1,solteiro,graduado,2625,0,54,1
2,7,6,4,3,1,983,138,76,184,180,81975.0,1561,1,0,divorciado,segundo_grau,2699,0,58,0
65,8,1,2,0,1,3,3,1,8,4,38590.0,19,0,1,uniao_estavel,graduado,2569,0,49,0
37,3,1,3,0,1,0,0,4,5,6,15033.0,15,0,0,solteiro,graduado,2233,0,69,0
89,5,7,11,8,3,562,10,21,464,28,62745.0,1085,1,0,casado,doutorado,2622,0,55,0
49,6,2,4,0,2,5,8,9,20,6,22212.0,48,0,1,casado,segundo_grau,2361,0,45,0
46,7,1,3,0,1,18,0,0,4,0,23661.0,22,0,1,uniao_estavel,mestrado,2366,0,38,0
32,3,5,11,2,1,415,35,5,124,15,79761.0,594,1,0,solteiro,doutorado,2427,0,62,0
54,7,3,3,1,4,5,7,3,10,12,7500.0,37,0,1,solteiro,graduado,2344,0,47,0
98,3,6,10,5,1,901,163,61,757,186,73455.0,2068,0,0,viuvo,graduado,2403,0,52,0
97,3,6,4,4,2,382,124,114,276,75,64961.0,971,1,0,uniao_estavel,graduado,2712,0,62,0
75,9,2,2,0,1,14,1,1,7,2,22804.0,25,0,1,solteiro,graduado,2492,0,49,0
8,2,3,9,9,1,559,13,153,503,218,73687.0,1446,0,0,casado,graduado,2372,0,30,1
37,7,11,8,5,7,789,28,0,133,0,61074.0,950,1,0,casado,graduado,2840,0,62,0
31,6,1,3,0,2,11,0,0,5,0,31686.0,16,1,1,casado,doutorado,2183,0,56,0
40,6,5,6,3,2,1218,0,16,272,104,80134.0,1610,0,1,casado,graduado,2564,0,48,1
74,5,9,6,4,2,925,12,64,179,133,75027.0,1313,1,0,casado,graduado,2695,0,67,0
90,3,4,5,10,1,864,38,134,768,150,67546.0,1954,0,0,casado,doutorado,2826,0,32,0
57,6,9,6,6,4,960,70,28,183,220,65176.0,1461,1,0,uniao_estavel,mestrado,2767,0,51,0
59,8,2,3,0,2,16,1,3,25,6,31160.0,51,0,1,solteiro,mestrado,2445,0,45,0
52,6,1,3,0,2,3,2,3,7,0,29938.0,15,0,1,solteiro,graduado,2404,0,35,0
5,2,6,13,9,1,168,172,148,444,32,102692.0,964,0,0,divorciado,graduado,2609,0,46,1
92,6,3,5,1,2,45,20,47,52,21,26490.0,185,0,0,uniao_estavel,segundo_grau,2804,0,62,0
77,8,4,11,6,5,650,42,28,353,45,75702.0,1118,1,1,uniao_estavel,graduado,2828,0,53,0
35,6,1,3,0,2,24,0,0,8,0,30899.0,32,0,1,solteiro,doutorado,2783,0,46,0
48,6,8,5,3,3,918,10,21,118,13,63342.0,1080,1,0,uniao_estavel,doutorado,2780,0,59,0
97,3,3,7,2,4,138,24,33,87,28,45989.0,310,1,0,solteiro,graduado,2774,0,56,0
95,5,2,4,0,4,12,6,4,2,10,18701.0,34,1,1,solteiro,graduado,2549,0,56,0
24,8,1,2,0,1,11,0,0,4,0,40737.0,15,1,2,solteiro,doutorado,2362,0,63,0
60,7,1,2,1,2,1,3,2,8,4,15287.0,18,0,1,divorciado,graduado,2786,0,41,1
46,5,10,10,2,3,554,0,41,215,11,69674.0,821,2,0,divorciado,doutorado,2562,0,52,0
85,5,4,6,1,4,167,13,2,62,24,44159.0,268,0,1,casado,mestrado,2171,0,50,0
31,9,1,2,0,1,9,1,0,6,4,37717.0,20,0,1,casado,doutorado,2742,0,42,0
9,8,5,4,2,6,177,2,2,71,3,43776.0,255,1,1,uniao_estavel,mestrado,2670,0,68,1
30,7,3,3,1,4,38,2,4,22,4,38179.0,70,1,1,casado,mestrado,2631,0,54,0
47,1,3,8,7,1,483,84,84,398,205,80124.0,1254,0,0,casado,graduado,2162,0,57,0
70,7,3,2,2,4,77,1,2,35,0,38097.0,115,1,1,casado,doutorado,2781,0,50,1
13,1,3,6,3,1,182,149,74,298,162,72940.0,865,0,0,casado,graduado,2534,0,50,0
11,6,2,2,2,2,10,2,7,19,8,22070.0,46,0,1,uniao_estavel,graduado,2427,0,50,0
31,7,3,5,4,2,778,73,44,499,95,69267.0,1489,0,0,solteiro,graduado,2804,0,67,1
15,5,3,4,0,3,16,8,7,23,0,31788.0,54,0,1,solteiro,mestrado,2260,1,37,0
2,5,4,4,2,2,167,2,0,43,6,61905.0,218,1,0,uniao_estavel,doutorado,2304,0,45,0
55,6,2,4,0,4,13,7,2,14,8,29315.0,44,1,1,casado,graduado,2243,0,60,0
38,7,2,4,0,3,33,7,6,40,3,33378.0,89,1,1,divorciado,graduado,2667,0,57,0
86,4,6,12,3,2,625,22,7,99,10,66313.0,763,1,0,uniao_estavel,doutorado,2445,0,57,0
56,5,7,10,4,2,216,92,162,224,101,60714.0,795,0,0,solteiro,graduado,2687,0,64,1
29,1,3,5,3,1,68,22,129,396,188,77882.0,803,0,0,uniao_estavel,mestrado,2219,0,39,0
30,1,3,8,5,1,196,130,0,512,33,69867.0,871,0,0,solteiro,doutorado,2612,0,34,1
